group,value,n,median_w,q25_w,q75_w,share_w_lt1,share_w_gt2,median_M,median_TD,median_w_band_lo,median_w_band_hi,median_N,median_D
size,16-40B,45,2.4440534018414044,1.5396412700136697,3.3378373502994942,0.1111111111111111,0.6222222222222222,221.14864475201847,4.332160205524213,1.3283456322555416,6.539500362097312,30000000000.0,6500000000000.0
size,40-80B,26,1.4419742384313134,1.074091257692314,2.478012002522387,0.15384615384615385,0.4230769230769231,49.14368650217727,1.3259227152939403,0.6712155548487759,4.578849647321933,65643092480.0,3100000000000.0127
size,>80B,32,0.5998652385367103,0.453449047532383,0.95227615492289,0.78125,0.0,4.337983238713166,-1.2004042843898692,0.267436224864497,2.288225937172559,174800000000.0,730600000000.0
year_x_open,2019|closed,3,1.4828726464345605,1.279322325136591,1.6975543495841352,0.0,0.0,62.90666666666666,1.4486179393036815,,,,
year_x_open,2019|open,1,2.738010514396154,2.738010514396154,2.738010514396154,0.0,1.0,343.60135555555553,5.2140315431884625,,,,
year_x_open,2020|closed,9,1.3375115929706876,1.0645476411007226,2.267754548713912,0.2222222222222222,0.3333333333333333,45.04504504504504,1.0125347789120627,,,,
year_x_open,2020|open,1,2.010413954908171,2.010413954908171,2.010413954908171,0.0,1.0,148.14814814814815,3.031241864724513,,,,
year_x_open,2021|closed,9,0.4272718755916927,0.3166728512167129,0.567372473788798,0.8888888888888888,0.1111111111111111,1.6853932584269662,-1.718184373224922,,,,
year_x_open,2021|open,10,1.9284340238307474,1.541888138587733,2.584937819900243,0.1,0.5,128.44966645310296,2.7853020714922425,,,,
year_x_open,2022|closed,13,1.040202103332785,0.9277686949697036,1.3347328474988829,0.46153846153846156,0.15384615384615385,20.0,0.1206063099983552,,,,
year_x_open,2022|open,21,1.0680192861353355,0.6030482877064229,1.848791772440039,0.38095238095238093,0.23809523809523808,23.076923076923077,0.20405785840600643,,,,
year_x_open,2023|closed,16,1.0286013848882543,0.8465776204249016,1.5361172058208863,0.5,0.125,20.192307692307693,0.0858041546647626,,,,
year_x_open,2023|open,81,1.9978822725722232,1.3238444290543843,2.3678957949318185,0.1111111111111111,0.49382716049382713,138.50415512465375,2.9936468177166695,,,,
year_x_open,2024|closed,11,1.8070699447820948,1.1998937053368608,3.1324349879885074,0.0,0.45454545454545453,100.0,2.4212098343462847,,,,
year_x_open,2024|open,95,3.6578917699623608,2.756086124194013,5.270983254526004,0.0,0.8631578947368421,702.7669542921273,7.973675309887082,,,,
year_x_open,2025|closed,3,1.887304759695967,1.285221075078928,2.3183623249896748,0.3333333333333333,0.3333333333333333,97.77777777777776,2.6619142790879007,,,,
year_x_open,2025|open,58,5.01242186237803,3.37975794019916,6.22555304203965,0.0,0.9827586206896551,1608.9406495438138,12.03726558713409,,,,
year_x_open,2026|open,4,3.7741699032620355,3.5958796855627697,4.220437461381446,0.0,1.0,686.0119047619048,8.322509709786107,,,,
