spec,w,r_obs,life_penalty,train_penalty,ratio_proc,ratio_eff,ratio_proc_vs_w,w_hat_proc,w_true_c,s_hat_proc,s_true_c,N_ratio,epochs,mu_eff
D3,5.38,3.361,0.042616018178990744,-0.14575228875145996,0.7136793244416018,0.6665997179864322,0.871051201785993,4.686255465608642,6.5663321118000315,0.7866100114817104,0.8477079771516659,1.0856224809485,2.644682297844332,0.5001506496592214
D3,5.38,3.6839,0.050320152609865776,-0.15465851064556146,0.6916455172504906,0.6392296384934657,0.8593559341151371,4.623334925539438,6.684544047821859,0.7837059144307347,0.8504011653082236,1.0971189341750318,2.8384830628909654,0.5643830319833054
D3,5.38,4.0,0.057986103082757534,-0.16261781859312008,0.6715307647876309,0.6144218004204695,0.8484420049925033,4.564617986859668,6.797332640900245,0.7809236166358857,0.8528834687325881,1.1083522952462,3.0220794777922886,0.6275464173238423
D3,5.38,4.0378,0.058909840314032236,-0.16352601851990756,0.6692115894951692,0.6115748950846857,0.8471688935437549,4.5577686472654015,6.810654087302387,0.7805943922581533,0.8531712244989251,1.109694282970183,3.043644266941826,0.635122710296224
D3,5.38,4.4257,0.06846353724641907,-0.17237907480823633,0.6463655185300089,0.5837024096612377,0.8344617291094586,4.489404102608887,6.945612001114903,0.7772532886004004,0.8560242063853436,1.1234504349757923,3.2603146650614034,0.7132017676273912
D3,5.38,4.8509,0.07906908920934752,-0.18123289562622769,0.6231124806278183,0.5556937888379904,0.8212120557289643,4.418120859821828,7.090406623488493,0.7736594285833259,0.8589643650778384,1.138498766112447,3.488591700603082,0.7995522355776139
D3,5.38,5.3169,0.09082148585445493,-0.19009352708126814,0.5994779546830066,0.5276484530424278,0.8074061081493829,4.34384486184368,7.246046043745894,0.7697892001659643,0.8619937005695533,1.154957333556675,3.728442255611944,0.8952012352807766
D3,5.38,5.8277,0.10383076906309241,-0.19896210153464633,0.5754941559921343,0.4996651411223828,0.7930313384886477,4.266508601068924,7.41364366022726,0.7656163168757092,0.8651135601020584,1.1729615614370053,3.9798478606302146,1.001340333155381
D3,5.38,6.3875,0.11821498501345307,-0.20782674678294732,0.5512177550482011,0.4718604060872148,0.7780873075393868,4.186109714561901,7.594294044820541,0.7611147179154488,0.8683221910952974,1.1926537365651426,4.242645203541478,1.119270841756467
D3,5.38,7.0011,0.1341110646765311,-0.2166669496337288,0.5267132720938387,0.44434690743235983,0.7625764666948407,4.102661390818243,7.789174126007816,0.7562557801533414,0.8716166844106065,1.2141973693135766,4.516722863614574,1.2504938895118198
D3,5.38,7.6737,0.1516706639597214,-0.2254577771677425,0.5020537896558747,0.41723746000349765,0.7465062642578445,4.016203701707203,7.999548622987292,0.7510086454093647,0.874992946836222,1.2377730477787772,4.80185334946005,1.3967167281471253
D3,5.38,8.0,0.16023556657633042,-0.2294207571701694,0.49083349360363177,0.4050968308235248,0.7390316853780214,3.975990467333755,8.10048727144226,0.7484903426665944,0.8765506362159923,1.249198197568682,4.934872588382604,1.468545601719696
D3,5.38,8.4108,0.17105862879547473,-0.23415782729182066,0.4773342339423213,0.39065382493142786,0.7298976125863368,3.926849155714492,8.22662377111002,0.7453429046173663,0.8784434504575538,1.2635738014181448,5.0977199265960165,1.5598111068681635
D3,5.38,9.2188,0.19247027320873067,-0.24272500996836055,0.45264074080980166,0.36469686295216347,0.7127670066541018,3.8346864957990676,8.471810312387218,0.7392224889582215,0.8819614742155132,1.2918299269021305,5.4040911521881565,1.7420032952988906
D3,5.38,10.1044,0.21611761002210583,-0.25110267260211083,0.42807670974905143,0.3394723848075342,0.6951441888235672,3.7398757358707915,8.73646159835043,0.7326114366826254,0.8855371835905723,1.3227889074248949,5.720609019688864,1.9457477095433129
