technology,C,N_kaplan,D_kaplan,M_kaplan,CE,CEG
Farseer grid,5e+26,37978140728205.9,2194244682216.4387,0.05777651670522144,0.025811416055020867,38.74254701362961
Farseer grid,1e+27,62992028839185.336,2645837413685.4067,0.04200273371794489,0.018444915144599963,54.215483896805324
m1: llama_3,3.14e+23,174600000000.0,299732722413.13477,1.7166822589526618,0.7877994053664831,1.2693586631165348
m1: llama_3,5.76e+23,271890484852.53735,353083338139.12836,1.298623371577813,0.7347559291328508,1.3609961626035283
m1: llama_3,2.5e+24,793929250106.42,524815865659.08203,0.6610360628339799,0.5992792900293302,1.6686710464348893
m1: llama_3,3.8e+25,5787987996848.345,1094220191331.0701,0.18905018322893744,0.36287309933310957,2.755784327462703
m1: llama_3,1e+26,11729664661374.34,1420898819175.0974,0.12113720725999116,0.2929352672760566,3.4137234799305305
m1: llama_3,5e+26,37978140728205.9,2194244682216.4387,0.05777651670522144,0.19762166974341738,5.060173822528434
m1: llama_3,1e+27,62992028839185.336,2645837413685.4067,0.04200273371794489,0.16458478501331544,6.0758957756581005
m1: marin_202603__comma__llama_2,3.14e+23,174600000000.0,299732722413.13477,1.7166822589526618,0.1592291847841857,6.28025572922055
m1: marin_202603__comma__llama_2,5.76e+23,271890484852.53735,353083338139.12836,1.298623371577813,0.11673586848791742,8.566347369947426
m1: marin_202603__comma__llama_2,2.5e+24,793929250106.42,524815865659.08203,0.6610360628339799,0.05315994266040708,18.811156482770038
m1: marin_202603__comma__llama_2,3.8e+25,5787987996848.345,1094220191331.0701,0.18905018322893744,0.011458062778471926,87.27478801031342
m1: marin_202603__comma__llama_2,1e+26,11729664661374.34,1420898819175.0974,0.12113720725999116,0.006557831587099896,152.48942988519704
m1: marin_202603__comma__llama_2,5e+26,37978140728205.9,2194244682216.4387,0.05777651670522144,0.002573704591427945,388.5449803876595
m1: marin_202603__comma__llama_2,1e+27,62992028839185.336,2645837413685.4067,0.04200273371794489,0.0017172828931023563,582.3152399739164
m1: marin_202603__dclm__llama_2,3.14e+23,174600000000.0,299732722413.13477,1.7166822589526618,0.2240150077170768,4.463986632819553
m1: marin_202603__dclm__llama_2,5.76e+23,271890484852.53735,353083338139.12836,1.298623371577813,0.1677829867170428,5.960079860101951
m1: marin_202603__dclm__llama_2,2.5e+24,793929250106.42,524815865659.08203,0.6610360628339799,0.07984324654565314,12.52454081295674
m1: marin_202603__dclm__llama_2,3.8e+25,5787987996848.345,1094220191331.0701,0.18905018322893744,0.018343643587746074,54.51479664966999
m1: marin_202603__dclm__llama_2,1e+26,11729664661374.34,1420898819175.0974,0.12113720725999116,0.010707350019203336,93.3937900793873
m1: marin_202603__dclm__llama_2,5e+26,37978140728205.9,2194244682216.4387,0.05777651670522144,0.004334377539172668,230.71363557104368
m1: marin_202603__dclm__llama_2,1e+27,62992028839185.336,2645837413685.4067,0.04200273371794489,0.0029295809001781393,341.3457535646798
m1: marin_202603__nemotron__llama_2,3.14e+23,174600000000.0,299732722413.13477,1.7166822589526618,0.26587107108947283,3.761221542088996
m1: marin_202603__nemotron__llama_2,5.76e+23,271890484852.53735,353083338139.12836,1.298623371577813,0.20299816656876876,4.926152865825192
m1: marin_202603__nemotron__llama_2,2.5e+24,793929250106.42,524815865659.08203,0.6610360628339799,0.10062249809828917,9.938135296772188
m1: marin_202603__nemotron__llama_2,3.8e+25,5787987996848.345,1094220191331.0701,0.18905018322893744,0.024472056492761577,40.862932802389665
m1: marin_202603__nemotron__llama_2,1e+26,11729664661374.34,1420898819175.0974,0.12113720725999116,0.014513816689164155,68.89986427530039
m1: marin_202603__nemotron__llama_2,5e+26,37978140728205.9,2194244682216.4387,0.05777651670522144,0.006013033386450646,166.30541288084828
m1: marin_202603__nemotron__llama_2,1e+27,62992028839185.336,2645837413685.4067,0.04200273371794489,0.004101044760619884,243.84030372027624
m1: misfitting__fineweb_c4__transformer,3.14e+23,174600000000.0,299732722413.13477,1.7166822589526618,0.6394429905296395,1.5638610709794745
m1: misfitting__fineweb_c4__transformer,5.76e+23,271890484852.53735,353083338139.12836,1.298623371577813,0.5619814231429833,1.7794182491074495
m1: misfitting__fineweb_c4__transformer,2.5e+24,793929250106.42,524815865659.08203,0.6610360628339799,0.38939077820465795,2.5681142337541827
m1: misfitting__fineweb_c4__transformer,3.8e+25,5787987996848.345,1094220191331.0701,0.18905018322893744,0.16801211701025354,5.9519516675036686
m1: misfitting__fineweb_c4__transformer,1e+26,11729664661374.34,1420898819175.0974,0.12113720725999116,0.12010522005076844,8.326032786729005
m1: misfitting__fineweb_c4__transformer,5e+26,37978140728205.9,2194244682216.4387,0.05777651670522144,0.06671232164395816,14.989734660067338
m1: misfitting__fineweb_c4__transformer,1e+27,62992028839185.336,2645837413685.4067,0.04200273371794489,0.051325686815891405,19.4834216946198
m2: farseer (all),3.14e+23,174600000000.0,299732722413.13477,1.7166822589526618,0.6620821446907031,1.5103866008456668
m2: farseer (all),5.76e+23,271890484852.53735,353083338139.12836,1.298623371577813,0.6057266934369897,1.6509095782552372
m2: farseer (all),2.5e+24,793929250106.42,524815865659.08203,0.6610360628339799,0.4724689276232131,2.1165413036378236
