alpha,beta,ssr,tilt_range,tau_own,tau_ref,delta_ssr,lr_gaussian
0.55,1,1.2417,1.14217e+148,inf,inf,1.22205,54277.4
0.55,1.0554,1.2417,905.2,inf,inf,1.22205,54277.4
0.55,1.2,1.2417,905.2,inf,inf,1.22205,54277.4
0.55,1.5,1.2417,905.2,inf,inf,1.22205,54277.4
0.65,0.04,0.502368,0.402566,3.21188,2.56459,0.482712,21439.7
0.65,0.06,0.135312,0.42268,3.28921,2.68816,0.115656,5136.88
0.65,0.08,0.0230976,0.749943,7.80401,5.78047,0.00344208,152.88
0.65,0.0941,0.0232351,0.846394,9.7274,7.24371,0.00357967,158.992
0.65,0.1,0.0238755,0.86468,10.0323,7.56031,0.00422004,187.434
0.65,0.12,0.0264376,0.937585,11.4191,8.9663,0.00678211,301.228
0.65,0.14,0.0296032,1.0336,13.6906,11.2245,0.00994775,441.831
0.65,0.16,0.0333701,1.16636,17.8124,15.3127,0.0137146,609.134
0.65,0.18,0.0377341,1.36397,26.7538,24.3128,0.0180786,802.963
0.65,0.2,0.0426899,1.69849,54.4039,53.1754,0.0230345,1023.08
0.65,0.3,0.110101,28.0282,4.22985e+25,3.00255e+28,0.0904454,4017.14
0.65,0.5,0.934497,424.03,inf,inf,0.914841,40632.8
0.65,0.8,2.03278,960.711,inf,inf,2.01312,89413
0.65,1,2.03278,960.711,inf,inf,2.01312,89413
0.65,1.0554,2.03278,960.711,inf,inf,2.01312,89413
0.65,1.2,2.03278,960.711,inf,inf,2.01312,89413
0.65,1.5,2.03278,2421.49,inf,inf,2.01312,89413
0.75,0.04,0.795683,0.390886,2.69012,2.49546,0.776027,34467.3
0.75,0.06,0.238926,0.410517,2.75557,2.61275,0.21927,9738.92
0.75,0.08,0.0283963,0.59079,4.152,3.98345,0.00874086,388.226
0.75,0.0941,0.0207433,0.764492,6.11887,5.98062,0.00108779,48.3142
0.75,0.1,0.0211742,0.782212,6.29968,6.23376,0.00151869,67.4529
0.75,0.12,0.0232082,0.852697,7.1009,7.35131,0.00355272,157.794
0.75,0.14,0.0261253,0.945131,8.3636,9.12599,0.00646984,287.359
0.75,0.16,0.0299201,1.0722,10.5537,12.2853,0.0102646,455.905
0.75,0.18,0.0345845,1.25965,15.0131,19.0476,0.014929,663.073
0.75,0.2,0.0401075,1.57158,27.3467,39.5161,0.0204521,908.381
0.75,0.3,0.110102,440.172,inf,inf,0.0904467,4017.2
0.75,0.5,0.934497,197.676,2.28709e+137,6.98946e+200,0.914841,40632.8
0.75,0.8,2.94597,1386.51,inf,inf,2.92631,129972
0.75,1,2.94597,2024.87,inf,inf,2.92631,129972
0.75,1.0554,2.94597,7.61856e+149,inf,inf,2.92631,129972
0.75,1.2,2.94597,7.61856e+149,inf,inf,2.92631,129972
0.75,1.5,2.94597,7.61856e+149,inf,inf,2.92631,129972
0.85,0.04,1.13349,0.381428,2.35641,2.44085,1.11384,49471.2
0.85,0.06,0.369345,0.508892,3.06009,3.28889,0.349689,15531.5
0.85,0.08,0.0442063,0.483266,2.82719,3.09751,0.0245508,1090.43
0.85,0.0941,0.0198585,0.707215,4.47353,5.2306,0.00020303,9.0176
0.85,0.1,0.0199736,0.724372,4.59511,5.44481,0.000318166,14.1314
0.85,0.12,0.0211433,0.792469,5.12411,6.38516,0.00148783,66.0822
0.85,0.14,0.0235123,0.881424,5.93373,7.86234,0.00385686,171.303
0.85,0.16,0.0270718,1.00305,7.28803,10.4502,0.00741629,329.395
0.85,0.18,0.0318087,1.18097,9.90605,15.8453,0.0121532,539.787
0.85,0.2,0.0377064,1.47244,16.5214,31.3362,0.018051,801.735
0.85,0.3,0.110104,564.825,inf,inf,0.0904484,4017.27
0.85,0.5,0.934497,292.876,2.72965e+188,3.71854e+297,0.914841,40632.8
0.85,0.8,3.45058,77.6176,7.23253e+40,7.27406e+78,3.43092,152385
0.85,1,3.94486,862.87,inf,inf,3.9252,174338
