tech,variant,n,n_sizes,sigma_kappa,kappa,a1,b1,E_kappa,sigma_chin,E_chin,qlr_kappa1,sigma_kappa_E_chin,kappa_E_chin,inference,E_set_lo,E_set_hi,sigma_kappa_over_E_set_lo,sigma_kappa_over_E_set_hi,sigma_kappa_E_grid_min,sigma_kappa_E_grid_max,se_sigma_kappa,lo,hi,B
"Gadre, RefinedWeb",baseline,35,6,0.594477159190701,0.3550655441592255,0.7136175704619248,0.650683259401287,1.7038027223137988,0.796064243465083,1.701339657327039,20.181015644927545,0.5952621233787136,0.3556801294375845,"wild (Feng-He-Hu), run level",1.524557427233214,1.800713602954009,0.5804318231706787,0.6046285853942513,0.5223557564471056,0.9078216467890271,0.050759227215629796,0.509529795015148,0.6892389449045745,499
"Gadre, RefinedWeb",drop the 1 smallest model size,27,5,0.5449228757114986,0.3785292543349608,0.8904010661604175,0.7798430897462816,1.9700544823112094,0.7577654578340198,1.9685672452121057,12.97004289945415,0.5448710500439692,0.37784311178148705,"wild (Feng-He-Hu), run level",,,,,,,0.08191799322438426,0.39698681494880905,0.7158277975236055,199
"Gadre, RefinedWeb",drop the 2 smallest model sizes,19,4,0.483798367382116,0.26251613859362816,1.1139497174758484,1.0200038773289684,1.875600048973729,0.7641424590221881,1.8617731721828612,9.68205568019518,0.480264884180005,0.255113023269086,"wild (Feng-He-Hu), run level",,,,,,,0.08031327840204826,0.31252603326398914,0.6276257853875561,199
OLMo ladder,baseline,30,5,0.5441918103531439,0.22275406938677725,0.9535114548455763,0.7216632941131307,1.7417408740521223,0.8249713524417156,1.857445220974247,94.32087554643445,0.5406784832906435,0.24105190006760543,"wild cluster (Webb), (size, multiplier) cell",1.6547820364577428,1.817500684091023,0.5413930220644412,0.5445912729632731,0.48112637838599903,0.6217849036961751,0.018555582992355792,0.5111305566354651,0.5787704649664234,499
OLMo ladder,drop the 1 smallest model size,24,4,0.548269101211025,0.23743859587685873,0.930491717668566,0.7173520064850845,1.804663330703246,0.8097322381989105,1.96826037880038,69.47116332254632,0.5255061694640328,0.2534964108394034,"wild cluster (Webb), (size, multiplier) cell",,,,,,,0.027108390836260137,0.5036998147608457,0.6051942089735881,199
OLMo ladder,drop the 2 smallest model sizes,18,3,0.5183770127237606,0.31503297798264873,1.1532624059511014,0.704933368377699,2.1322181068911217,0.7091618136046395,2.2389862475890925,64.7954439670198,0.5058855286515314,0.3583987592553726,"wild cluster (Webb), (size, multiplier) cell",,,,,,,0.018280640148128573,0.48960922786500016,0.5587096378789671,199
OLMo ladder,output: task bits per byte,30,5,0.5116351858755158,0.32801450071119537,1.135887778574661,0.773147516911473,0.71324938203978,0.7628293672551428,0.6937028201281255,20.39826740524711,0.4871964175562644,0.27959464096529735,"wild cluster (Webb), (size, multiplier) cell",,,,,,,0.0591366977381173,0.4148554191607504,0.6275447193601865,199
Muennighoff,baseline,33,19,0.5107306168712504,0.42215072114273333,1.0646891421202895,0.8512695529978023,2.022558058583179,0.734547630504754,1.9029351880840768,21.19273821283674,0.5576240862653641,0.4733639152012757,"wild (Feng-He-Hu), run level",1.9194658214285714,2.0997286985714285,0.5026263692836421,0.5550855392092124,0.5026263692836421,0.7466973591586373,0.047009072455060655,0.4093991159641648,0.6013426604832733,499
Muennighoff,drop the 1 smallest model size,32,18,0.5266448242868087,0.5017779005277052,1.0557829356927484,0.7418429171928914,2.0913196805435756,0.7005531649774762,2.09348901528019,15.92007966105738,0.5269451036137172,0.502933113638305,"wild (Feng-He-Hu), run level",,,,,,,0.051004014466689354,0.3964413062381139,0.6264936148863346,199
Muennighoff,drop the 2 smallest model sizes,31,17,0.5356502398699655,0.5214932605332181,1.0096740532947526,0.7241056617773814,2.099844718189089,0.6928636244725734,2.1257748791089264,12.555035417554382,0.5139172222638584,0.4830888658050567,"wild (Feng-He-Hu), run level",,,,,,,0.050061685709395363,0.42944197074095725,0.6415101478180497,199
Muennighoff,drop D/N < 0.4,31,19,0.5663809268549717,0.5123078816931486,0.8877966203181559,0.6433957365744042,1.9620633981270073,0.7256329477002219,1.8040515836441187,10.489212379960955,0.6124749150623346,0.607878887798958,"wild (Feng-He-Hu), run level",,,,,,,0.05826430073734052,0.4587447844715599,0.671689723405889,199
