cell,statistic,corpus,scheme,n_rep,noise_free_value,mean_estimate,mean_bias,mc_sd,mc_sd_se,mean_boot_se,factor,factor_mc_se,coverage,coverage_mc_se,mean_halfwidth,truth,kappa,noise_sd,rho_trunk,applied_factor,coverage_calibrated,coverage_calibrated_mc_se,reject_zero,reject_zero_mc_se,mde80_oracle,mde80_uncalibrated,reject_zero_calibrated,reject_zero_calibrated_mc_se,mde80_calibrated
chin_s002_r5,mf_F,web,wcu,150,0.68964488167643,0.6880184941904065,-0.001626387486023413,0.006528141868203795,0.00037816510479047694,0.0031132632399814785,2.0968807855267104,0.11708679662187259,0.5133333333333333,0.04081031097016392,0.005221792484369489,chin,1.0,0.002,0.5,1.743444986930914,0.7866666666666666,0.03344868928395872,,,,,,,
chin_s002_r5,mf_F,web,cr2cv,150,0.68964488167643,0.6880184941904065,-0.001626387486023413,0.006528141868203795,0.00037816510479047694,0.0046202073824020634,1.4129542957463068,0.07889719579001142,0.7066666666666667,0.037174264295691525,0.008084646984877777,chin,1.0,0.002,0.5,1.743444986930914,0.9466666666666667,0.018346459947155818,,,,,,,
chin_s002_r5,mf_F,pooled,wcu,300,0.692327017948903,0.6914108254773229,-0.000916192471579906,0.007654198716133094,0.00031300346196289644,0.0032920585166257028,2.325049411326534,0.10776184703438131,0.52,0.028844410203711913,0.005554401045176003,chin,1.0,0.002,0.5,1.743444986930914,0.78,0.023916521486202793,,,,,,,
chin_s002_r5,mf_F,pooled,cr2cv,300,0.692327017948903,0.6914108254773229,-0.000916192471579906,0.007654198716133094,0.00031300346196289644,0.005009633879329244,1.527895830415044,0.06910931189959914,0.7233333333333334,0.02582777718027771,0.008785211019431836,chin,1.0,0.002,0.5,1.743444986930914,0.9266666666666666,0.015050532167286265,,,,,,,
chin_s002_r5,mf_P,edu,wcu,150,0.736281460133994,0.7365066139245952,0.00022515379060121724,0.008691471461120818,0.0005034834233439466,0.003598087373768636,2.4155809901907337,0.14341266293365618,0.5333333333333333,0.04073400617738524,0.0061434698083156405,chin,1.0,0.002,0.5,1.743444986930914,0.72,0.03666060555964672,,,,,,,
chin_s002_r5,mf_P,edu,cr2cv,150,0.736281460133994,0.7365066139245952,0.00022515379060121724,0.008691471461120818,0.0005034834233439466,0.0068172879994663205,1.27491628075581,0.07807983360031492,0.7333333333333333,0.036106837353937604,0.011868884543902175,chin,1.0,0.002,0.5,1.743444986930914,0.9,0.02449489742783178,,,,,,,
chin_s002_r5,mf_P,web,wcu,150,0.7389738221798979,0.7381373350441097,-0.0008364871357879215,0.006566869471371609,0.0003804085346064821,0.0030024790655606426,2.1871491284304425,0.12214230207955525,0.5066666666666667,0.04082120001139568,0.005078619266480085,chin,1.0,0.002,0.5,1.743444986930914,0.7466666666666667,0.03551108329855676,,,,,,,
chin_s002_r5,mf_P,web,cr2cv,150,0.7389738221798979,0.7381373350441097,-0.0008364871357879215,0.006566869471371609,0.0003804085346064821,0.005123464571265027,1.2817243839650858,0.0725920079683515,0.7466666666666667,0.03551108329855676,0.008916685822552497,chin,1.0,0.002,0.5,1.743444986930914,0.94,0.019390719429665325,,,,,,,
chin_s002_r5,mf_P,pooled,wcu,300,0.7376276411569459,0.7373219744843525,-0.0003056666725933521,0.007708242402648137,0.00031521347265164325,0.0033002832196646396,2.335630577617946,0.09838301844160789,0.52,0.028844410203711913,0.005611044537397863,chin,1.0,0.002,0.5,1.743444986930914,0.7333333333333333,0.02553138954016902,,,,,,,
chin_s002_r5,mf_P,pooled,cr2cv,300,0.7376276411569459,0.7373219744843525,-0.0003056666725933521,0.007708242402648137,0.00031521347265164325,0.005970376285365673,1.2910815054559033,0.05897247981030871,0.74,0.025324559884296775,0.010392785183227336,chin,1.0,0.002,0.5,1.743444986930914,0.92,0.01566312016596097,,,,,,,
chin_s002_r5,mf_P6,edu,wcu,150,0.7386682096622947,0.7411908546446907,0.002522644982396017,0.0055543928397196,0.00032175733810423145,0.002694785643397358,2.0611631405001445,0.11996969614250828,0.5266666666666666,0.04076672571995359,0.00459773758444389,chin,1.0,0.002,0.5,1.743444986930914,0.7466666666666667,0.03551108329855676,,,,,,,
chin_s002_r5,mf_P6,edu,cr2cv,150,0.7386682096622947,0.7411908546446907,0.002522644982396017,0.0055543928397196,0.00032175733810423145,0.004536982629185496,1.224248204961004,0.0710463129424197,0.7133333333333334,0.0369223409233388,0.0079748879684149,chin,1.0,0.002,0.5,1.743444986930914,0.9133333333333333,0.022971802360801027,,,,,,,
chin_s002_r5,mf_P6,web,wcu,150,0.7392861288105192,0.7406532593753049,0.0013671305647857332,0.004438169427456778,0.0002570962519651677,0.0022908455605750657,1.9373499042609728,0.1247210470554759,0.5533333333333333,0.04059191672862596,0.003948457862576166,chin,1.0,0.002,0.5,1.743444986930914,0.8466666666666667,0.029419066631718307,,,,,,,
chin_s002_r5,mf_P6,web,cr2cv,150,0.7392861288105192,0.7406532593753049,0.0013671305647857332,0.004438169427456778,0.0002570962519651677,0.003640068443534438,1.2192543893892827,0.0803896990803048,0.7733333333333333,0.034184683596496734,0.0065158986591798956,chin,1.0,0.002,0.5,1.743444986930914,0.9533333333333334,0.017221863795553384,,,,,,,
chin_s002_r5,mf_P6,pooled,wcu,300,0.738977169236407,0.7409220570099978,0.001944887773590875,0.0050521979529971174,0.00020659973805969574,0.002492815601986212,2.0267034388631293,0.0866921586567726,0.54,0.02877498913987632,0.004273097723510028,chin,1.0,0.002,0.5,1.743444986930914,0.7966666666666666,0.02323710315342605,,,,,,,
chin_s002_r5,mf_P6,pooled,cr2cv,300,0.738977169236407,0.7409220570099978,0.001944887773590875,0.0050521979529971174,0.00020659973805969574,0.004088525536359968,1.2357016993209518,0.05422084397661003,0.7433333333333333,0.02521830610812239,0.007245393313797397,chin,1.0,0.002,0.5,1.743444986930914,0.9333333333333333,0.014401645996461909,,,,,,,
chin_s002_r5,q3,edu,wcu,150,-0.006366232806198401,-0.025209954624625865,-0.018843721818427465,0.03112619142270919,0.0018030918565708175,0.013567219917592303,2.294220305395697,0.15284513007335745,0.38,0.0396316371938716,0.022206653445214018,chin,1.0,0.002,0.5,1.75,0.66,0.038678159211627434,,,,,,,
chin_s002_r5,q3,edu,cr2cv,150,-0.006366232806198401,-0.025209954624625865,-0.018843721818427465,0.03112619142270919,0.0018030918565708175,0.020702903734030127,1.5034698428098239,0.101996474174263,0.6,0.04,0.03574091377623378,chin,1.0,0.002,0.5,1.75,0.86,0.028331372481167703,,,,,,,
chin_s002_r5,q3,web,wcu,150,-0.0036755075690859665,-0.014939911599406013,-0.011264404030320046,0.022672558005443218,0.0013133860211827339,0.010591753586071754,2.1405858643896156,0.13806401714585984,0.5,0.040824829046386304,0.01711488184905607,chin,1.0,0.002,0.5,1.75,0.72,0.03666060555964672,,,,,,,
chin_s002_r5,q3,web,cr2cv,150,-0.0036755075690859665,-0.014939911599406013,-0.011264404030320046,0.022672558005443218,0.0013133860211827339,0.015670748560623688,1.4468075929961102,0.08360114132183001,0.7266666666666667,0.03638884648004314,0.02735811295865832,chin,1.0,0.002,0.5,1.75,0.9133333333333333,0.022971802360801027,,,,,,,
chin_s002_r5,q3,pooled,wcu,300,-0.005020870187642183,-0.02007493311201594,-0.015054062924373758,0.02744762549994531,0.001122416875072227,0.012079486751832028,2.272250970910042,0.10914648540723045,0.44,0.028658913680272905,0.01966076764713505,chin,1.0,0.002,0.5,1.75,0.69,0.026702059845637376,,,,,,,
