split,sigma_star,alpha,beta,k,w,C_over_Cmin,cosh_formula,brute_force,overhead_pct,expenditure_share_inference
alpha/beta of Hoffmann et al. (1.191),0.6,0.7246701917427764,0.6086631415905571,10,4.64158883361278,2.3204954133521425,,2.320495413351922,132.04954133521426,0.7845565309968117
alpha/beta of Hoffmann et al. (1.191),0.6,0.7246701917427764,0.6086631415905571,100,21.544346900318853,17.050256712852455,,17.05025671284871,1605.0256712852456,0.9535841116638722
alpha/beta of Hoffmann et al. (1.191),0.6,0.7246701917427764,0.6086631415905571,1000,100.00000000000004,187.04649082911905,,187.0464908291033,18604.649082911907,0.99
alpha/beta of Hoffmann et al. (1.191),0.7,0.4658594089774991,0.3912834481653581,2,1.3459001926323562,1.053094350893526,,1.0530943508936867,5.309435089352599,0.2570028554315258
alpha/beta of Hoffmann et al. (1.191),0.7,0.4658594089774991,0.3912834481653581,10,2.6826957952797263,1.7536246857941076,,1.7536246857926605,75.36246857941076,0.6272406279685061
alpha/beta of Hoffmann et al. (1.191),0.7,0.4658594089774991,0.3912834481653581,100,7.196856730011523,7.976681704572893,,7.976681704572701,697.6681704572893,0.8610504505626863
alpha/beta of Hoffmann et al. (1.191),0.7,0.4658594089774991,0.3912834481653581,1000,19.3069772888325,64.07402773288624,,64.07402773288464,6307.402773288623,0.9482052532076879
alpha/beta of Hoffmann et al. (1.191),0.74,0.38192077672930097,0.32078192597340166,2,1.2757550489349951,1.0433083325682384,,1.0433083325682488,4.330833256823841,0.21615046647488986
alpha/beta of Hoffmann et al. (1.191),0.74,0.38192077672930097,0.32078192597340166,10,2.245697995539774,1.5905148578000268,,1.5905148578000348,59.05148578000268,0.5547041490057345
alpha/beta of Hoffmann et al. (1.191),0.74,0.38192077672930097,0.32078192597340166,100,5.043159487171359,5.8234430022670995,,5.823443002266988,482.34430022670995,0.8017116050872929
alpha/beta of Hoffmann et al. (1.191),0.74,0.38192077672930097,0.32078192597340166,1000,11.325413151528114,38.152107027448004,,38.1521070274448,3715.2107027448005,0.911703000445059
alpha/beta of Hoffmann et al. (1.191),0.8,0.2717513219035411,0.22824867809645888,2,1.189207115002721,1.0306010037790543,,1.0306010037790507,3.060100377905428,0.15910358474628544
alpha/beta of Hoffmann et al. (1.191),0.8,0.2717513219035411,0.22824867809645888,10,1.778279410038923,1.3942367642194775,,1.3942367642190396,39.423676421947754,0.437658674809651
alpha/beta of Hoffmann et al. (1.191),0.8,0.2717513219035411,0.22824867809645888,100,3.1622776601683795,3.6643111192023996,,3.6643111192023197,266.43111192023997,0.6837722339831621
alpha/beta of Hoffmann et al. (1.191),0.8,0.2717513219035411,0.22824867809645888,1000,5.62341325190349,16.32766393956042,,16.327663939560388,1532.766393956042,0.8221720589961077
