corpus,conv,subset,sigma_star,LR
edu,T,full,0.79,83.90046876946637
edu,T,full,0.81,90.48049552307779
edu,T,full,0.83,96.52493970129379
edu,T,full,0.85,102.17867100915858
edu,T,full,0.87,107.45332301368263
edu,T,full,0.89,112.36993157323715
edu,T,full,0.91,116.95552845904248
edu,T,full,0.93,121.24093269552486
edu,T,full,0.95,125.2608239536814
edu,T,full,0.97,129.0687829545226
edu,T,full,0.99,132.75024939894345
edu,T,onpath1,0.05,14.248634098583999
edu,T,onpath1,0.07,13.613802411872014
edu,T,onpath1,0.09,12.603613355499778
edu,T,onpath1,0.11,11.006399247218255
edu,T,onpath1,0.13,9.584243783434221
edu,T,onpath1,0.15,8.115904480589315
edu,T,onpath1,0.17,6.681185693589039
edu,T,onpath1,0.19,5.340417925716485
edu,T,onpath1,0.21,4.136023193310073
edu,T,onpath1,0.23,3.093781981319883
edu,T,onpath1,0.25,2.2244514061408314
edu,T,onpath1,0.27,1.5260977400734461
edu,T,onpath1,0.29,0.9871419461522015
edu,T,onpath1,0.31,0.5897429867730996
edu,T,onpath1,0.33,0.3129913942303868
edu,T,onpath1,0.35,0.1354861052576554
edu,T,onpath1,0.37,0.03710446674017868
edu,T,onpath1,0.39,8.210472301664797e-10
edu,T,onpath1,0.41,0.008994058944538079
edu,T,onpath1,0.43,0.05156267600846692
edu,T,onpath1,0.45,0.11759453578170845
edu,T,onpath1,0.47,0.19904761900947532
edu,T,onpath1,0.49,0.28958467939416316
edu,T,onpath1,0.51,0.3842311271054533
edu,T,onpath1,0.53,0.47907451364604603
edu,T,onpath1,0.55,0.5710103038881454
edu,T,onpath1,0.57,0.6575309169380689
edu,T,onpath1,0.59,0.7365514669438455
edu,T,onpath1,0.61,0.8062643873851322
edu,T,onpath1,0.63,0.8650149504732705
edu,T,onpath1,0.65,0.9111898595281961
edu,T,onpath1,0.67,0.9431111231334
edu,T,onpath1,0.69,0.958927035752357
edu,T,onpath1,0.71,0.9564908928988257
edu,T,onpath1,0.73,0.933215891152531
edu,T,onpath1,0.75,0.8858907848268203
edu,T,onpath1,0.77,0.8104347143419774
edu,T,onpath1,0.79,0.7015600647469491
edu,T,onpath1,0.81,0.5671311145809212
edu,T,onpath1,0.83,1.0025553915038414
edu,T,onpath1,0.85,2.1789227936213
edu,T,onpath1,0.87,3.784676244586379
edu,T,onpath1,0.89,5.557570263940074
edu,T,onpath1,0.91,7.33435430339472
edu,T,onpath1,0.93,9.03242096161624
edu,T,onpath1,0.95,10.617527512153714
edu,T,onpath1,0.97,12.08975246570764
edu,T,onpath1,0.99,13.471765813068632
edu,T,onpath2,0.05,36.09495167742698
edu,T,onpath2,0.07,34.37504462371557
edu,T,onpath2,0.09,33.0449030084089
edu,T,onpath2,0.11,31.505186517766216
edu,T,onpath2,0.13,29.782120904992304
edu,T,onpath2,0.15,27.90313534701676
edu,T,onpath2,0.17,25.898950910740417
edu,T,onpath2,0.19,23.802773596046134
edu,T,onpath2,0.21,21.649277285577913
edu,T,onpath2,0.23,19.473552720560807
edu,T,onpath2,0.25,17.310092025833754
edu,T,onpath2,0.27,15.191901389742236
edu,T,onpath2,0.29,13.149743633967828
edu,T,onpath2,0.31,11.211445983467927
edu,T,onpath2,0.33,9.401216216531742
edu,T,onpath2,0.35,7.738965157190891
edu,T,onpath2,0.37,6.2396958735325585
edu,T,onpath2,0.39,4.91306127898106
edu,T,onpath2,0.41,3.763196210827332
edu,T,onpath2,0.43,2.788895194916014
edu,T,onpath2,0.45,1.9841447384415665
edu,T,onpath2,0.47,1.3389507786141686
edu,T,onpath2,0.49,0.8403505056885868
edu,T,onpath2,0.51,0.4734772705574028
edu,T,onpath2,0.53,0.22255872575258823
edu,T,onpath2,0.55,0.07176189687763825
edu,T,onpath2,0.57,0.00584040437982186
edu,T,onpath2,0.59,0.010576422576361925
edu,T,onpath2,0.61,0.07303637068967918
edu,T,onpath2,0.63,0.18167331910842768
edu,T,onpath2,0.65,0.32631265597233416
edu,T,onpath2,0.67,0.49805399463182237
edu,T,onpath2,0.69,0.6891146430502583
edu,T,onpath2,0.71,0.8926301820322302
edu,T,onpath2,0.73,1.1024163851034663
edu,T,onpath2,0.75,1.3126828236515928
edu,T,onpath2,0.77,1.5176686179805279
edu,T,onpath2,0.79,1.711137075395904
edu,T,onpath2,0.81,1.8856003970733308
edu,T,onpath2,0.83,2.031004491181734
edu,T,onpath2,0.85,2.132271757944742
edu,T,onpath2,0.87,2.164241221573908
edu,T,onpath2,0.89,2.1005136766045633
edu,T,onpath2,0.91,2.3794271279213337
edu,T,onpath2,0.93,3.1316960365666273
edu,T,onpath2,0.95,4.242540525398722
edu,T,onpath2,0.97,5.608404977899024
edu,T,onpath2,0.99,7.147028095552983
