sample,objective,sigma_star,obj,LR,LR_KB,kappa,E,a_share,kappa_at_bound
full design (n=240),huber,0.9,0.001832620712967864,313.2697227330862,288.6797752941689,3.0862466577079175,1.756536556850548,0.4256180999911985,False
full design (n=240),huber,0.92,0.0019373729911877503,339.9509552960048,322.74109416875353,4.013573473129399,1.7513580709309235,0.39640089319233973,False
full design (n=240),huber,0.94,0.002039677270091471,364.651115573202,356.3455757788372,5.8372480703250185,1.7403048365159404,0.33272059848075397,False
full design (n=240),huber,0.96,0.002138996134211966,387.47272920789885,389.0302691499573,14.282918427707202,1.705167227098394,0.16045253663607906,False
full design (n=240),huber,0.98,0.002237054154120833,408.9878977387447,421.6869890884449,299.99999999999994,1.7058437400361115,0.013498121176232947,True
full design (n=240),huber,0.99,0.0022891621411636172,420.04036948846715,438.5606592501166,299.99999930149016,1.7339101793483722,0.02865362457687026,True
full design (n=240),gauss,0.05,0.09401534285520242,717.5820128453032,,0.009430628954657079,1.2317450195452728,0.48349962065574037,False
full design (n=240),gauss,0.1,0.09114318361561431,710.1357069552088,,0.020144575552184987,1.2434617676303927,0.4829260501863992,False
full design (n=240),gauss,0.15,0.08611328495157344,696.5113821611716,,0.03249417346231757,1.2570762871345265,0.4839210314432819,False
full design (n=240),gauss,0.2,0.0790687298300329,676.0282883506185,,0.04718667747659899,1.2799808993679258,0.4859819621155005,False
full design (n=240),gauss,0.25,0.07031599089974074,647.8719125341548,,0.06534343031784101,1.3168876958277553,0.4883358020879694,False
full design (n=240),gauss,0.3,0.06030639239249942,611.0172409554798,,0.0885012523980451,1.3682551489709878,0.4904966216361403,False
full design (n=240),gauss,0.35,0.04960362956102414,564.1274568947113,,0.1186337536201533,1.4309759482796975,0.4922910164511023,False
full design (n=240),gauss,0.4,0.038845631530512056,505.4550452836104,,0.15818316712133254,1.499880091423801,0.4937965081158982,False
full design (n=240),gauss,0.45,0.0286971713988309,432.7837495401395,,0.2100933278728982,1.5693344092742691,0.4952878738389033,False
full design (n=240),gauss,0.5,0.01979317218086306,343.632984380845,,0.2778647144930968,1.6344374980250487,0.49719914224111217,False
full design (n=240),gauss,0.55,0.012675837271372933,236.67952005986723,,0.3657152223044859,1.6916213635025792,0.5001016060101477,False
full design (n=240),gauss,0.6,0.007732809980676966,118.06545012218868,,0.479064986977522,1.7387824939509713,0.5047069133005477,False
full design (n=240),gauss,0.61,0.0070253353307811045,95.03760256969848,,0.5054205017938062,1.7469225001386985,0.5059073808598809,False
full design (n=240),gauss,0.62,0.006413405375101538,73.16578856106636,,0.5331759029013543,1.7546259541136784,0.5072196681572546,False
full design (n=240),gauss,0.63,0.005897090614962672,53.022282213455156,,0.5624208519270373,1.7618935349888953,0.5086528752813243,False
full design (n=240),gauss,0.64,0.005476110821211928,35.24692981194695,,0.5932556635468131,1.7687272634847864,0.5102168040823158,False
full design (n=240),gauss,0.65,0.005149844017949626,20.504037395439724,,0.6257931396922025,1.7751303485094587,0.5119220842784689,False
full design (n=240),gauss,0.66,0.004917338379643037,9.416272099680892,,0.6601607247672189,1.781107026759075,0.5137803013520663,False
full design (n=240),gauss,0.67,0.004777326877476397,2.483573311100058,,0.6965030886441711,1.7866624070567436,0.5158041727624678,False
full design (n=240),gauss,0.68,0.0047282444510509045,0.005050636721611442,,0.7349851960965462,1.7918022914295084,0.5180077674784933,False
full design (n=240),gauss,0.69,0.004768247428477786,2.0270123233640858,,0.7757959710736684,1.796532971072145,0.5204067059080548,False
full design (n=240),gauss,0.7,0.004895234873674784,8.335036776827234,,0.8191527773961589,1.8008610323913705,0.5230185053679881,False
full design (n=240),gauss,0.71,0.005106871505935658,18.492971922176306,,0.8653069003556063,1.8047931734326526,0.5258628912401748,False
full design (n=240),gauss,0.72,0.005400611814644291,31.91503412833422,,0.9145502562889721,1.8083359383595707,0.5289622549236517,False
full design (n=240),gauss,0.73,0.005773724981755465,47.948282966234395,,0.9672238036386256,1.8114954825175604,0.5323421684400291,False
full design (n=240),gauss,0.74,0.0062233202261394,65.94495010885565,,1.0237281417742363,1.814277305721051,0.5360320291615702,False
full design (n=240),gauss,0.75,0.006746372196300421,85.31327297103999,,1.0845369807835457,1.8166859142330947,0.5400658628436461,False
full design (n=240),gauss,0.76,0.0073397460600679925,105.5451139234652,,1.1502146051388433,1.8187244835902159,0.5444833187215918,False
full design (n=240),gauss,0.77,0.00800022197002662,126.22472406137274,,1.2214386897840293,1.820394421506514,0.5493309157245156,False
full design (n=240),gauss,0.78,0.008724518619891356,147.02504562446882,,1.2990306483533336,1.821694848304105,0.554663642927069,False
full design (n=240),gauss,0.79,0.009509315647898333,167.6973540866051,,1.3839966538289759,1.8226219620653306,0.5605469911168123,False
full design (n=240),gauss,0.8,0.010351274686797257,188.05841591524205,,1.4775840894321475,1.8231682143150894,0.5670596000585624,False
full design (n=240),gauss,0.82,0.012193350925821581,227.36588635120603,,1.6973296152699477,1.823062559282286,0.5823748662276169,False
full design (n=240),gauss,0.84,0.014224381851616837,264.3419008091519,,1.9771238196817504,1.8211923045525669,0.6016660044032915,False
full design (n=240),gauss,0.86,0.016418792055972783,298.7744636678387,,2.3507970905791202,1.8171898176295185,0.6265928324685859,False
