sample,objective,sigma_star,obj,LR,LR_KB,kappa,E,a_share,kappa_at_bound
on-path band (n=41),gauss,0.76,0.00030477548832610375,3.780540610852446,,1.0576320571057354,1.7457955012261672,0.460202914794431,False
on-path band (n=41),gauss,0.77,0.00030505817375486995,3.8185513148532846,,1.1191464878681405,1.7452444651962693,0.4569387008358369,False
on-path band (n=41),gauss,0.78,0.00030533424506926294,3.855638684593962,,1.1864934292593314,1.7446320214414153,0.4533612736361877,False
on-path band (n=41),gauss,0.79,0.0003056037740110932,3.8918148169899087,,1.2605695493520137,1.743948932391361,0.44942441967655744,False
on-path band (n=41),gauss,0.8,0.0003058668093298697,3.9270886274686148,,1.3424714345295594,1.743184019401242,0.4450722011275635,False
on-path band (n=41),gauss,0.82,0.00030637345412281376,3.99494578255089,,1.5355243798373113,1.7413508704164375,0.43483519276636157,False
on-path band (n=41),gauss,0.84,0.0003068539260841084,4.059193906754135,,1.7814241231199024,1.738979950695739,0.4218980036917488,False
on-path band (n=41),gauss,0.86,0.00030730718765771987,4.119711342574338,,2.106949944628525,1.7358303886478788,0.40508011780557196,False
on-path band (n=41),gauss,0.88,0.0003077309685123033,4.176211960018313,,2.5621057831052454,1.7315055599974365,0.38243487249912667,False
on-path band (n=41),gauss,0.9,0.00030812097845753884,4.228141356266832,,3.2539672358404523,1.7253203588161434,0.3505493436255772,False
on-path band (n=41),gauss,0.92,0.00030846957527370955,4.274501038228534,,4.466365081773064,1.7160326932989547,0.3029570961776169,False
on-path band (n=41),gauss,0.94,0.00030876394480492493,4.313608284683122,,7.306464813713152,1.7012923362442198,0.22601649537221835,False
on-path band (n=41),gauss,0.96,0.00030898661736988197,4.343165766675523,,24.94630297510753,1.676498716596506,0.08521966739768883,False
on-path band (n=41),gauss,0.98,0.00030967817333159677,4.434827056168753,,299.99999999999994,1.7055126106069658,0.013919202237258508,True
on-path band (n=41),gauss,0.99,0.0003108210209315412,4.585856437077199,,299.99999960214063,1.7337612202433301,0.0293236528875378,True
