quantity,independent,module,abs_diff,tolerance,agrees,note
"S2(d) normal inputs, S1 levels: models",0.12987012987012986,0.1298701298701298,5.551115123125783e-17,1e-12,True,pointwise t-intervals (module: bootstrap-t floored at t)
"S2(d) normal inputs, S1 levels: compute",0.0029072722807903665,0.0029072722807903,6.635317295611287e-17,1e-12,True,pointwise t-intervals (module: bootstrap-t floored at t)
"S2(d) normal inputs, S1 levels: 49 decisions",0.14285714285714285,0.1428571428571428,5.551115123125783e-17,1e-12,True,pointwise t-intervals (module: bootstrap-t floored at t)
"S2(d) normal inputs, version 3 levels: models",0.14285714285714285,0.1428571428571428,5.551115123125783e-17,1e-12,True,
"S2(d) normal inputs, version 3 levels: compute",0.003286721294373417,0.0032867212943734,1.691355389077387e-17,1e-12,True,
"S2(d) normal inputs, version 3 levels: 49 decisions",0.14285714285714285,0.1428571428571428,5.551115123125783e-17,1e-12,True,
Marin in total parameters: slope,0.24655008791615587,0.2465500879161556,2.7755575615628914e-16,1e-06,True,
"Llama 3 conversion bound, lower",-0.2465286893230287,-0.2465286893230287,0.0,1e-09,True,
"Llama 3 conversion bound, upper",0.19830894577918004,0.19830894577918,2.7755575615628914e-17,1e-09,True,
S2(f) all anchors in total parameters: models,0.7142857142857143,0.7142857142857143,0.0,1e-12,True,
S2(f) all anchors in total parameters: compute,0.1730013620003787,0.1730013620003787,0.0,1e-12,True,
S2(f) all anchors in total parameters: 49 decisions,0.6530612244897959,0.6530612244897959,0.0,1e-12,True,
S2(f) anchors and models in N_F: models,0.7532467532467533,0.7532467532467533,0.0,1e-12,True,
S2(f) anchors and models in N_F: compute,0.23522611786388534,0.2352261178638853,2.7755575615628914e-17,1e-12,True,
S2(f) anchors and models in N_F: 49 decisions,0.673469387755102,0.673469387755102,0.0,1e-12,True,
"S4 median lower bound on s, k [0.40, 0.52], tau = 1",0.40515502069378473,0.4050022366163466,0.00015278407743812839,0.005,True,Monte Carlo q
"S4 median upper bound on s, k [0.40, 0.52], tau = 1",0.8991983466874984,0.8992290449310503,3.069824355184103e-05,0.005,True,Monte Carlo q
"S4 median lower bound on s, k [0.40, 0.52], tau = 1.84",0.24084417354810672,0.2406491867421132,0.00019498680599353002,0.005,True,Monte Carlo q
"S4 median upper bound on s, k [0.40, 0.52], tau = 1.84",0.9265887891620282,0.9266111458908683,2.2356728840100537e-05,0.005,True,Monte Carlo q
"S4 median lower bound on s, k [0.40, 0.52], tau = 3.4",0.029500385620253256,0.0292511158215739,0.00024926979867935517,0.005,True,Monte Carlo q
"S4 median upper bound on s, k [0.40, 0.52], tau = 3.4",0.9466543982476384,0.9466706441743789,1.624592674043246e-05,0.005,True,Monte Carlo q
"S4 median lower bound on s, k [0.40, 0.68], tau = 1",0.40515502069378473,0.4050022366163466,0.00015278407743812839,0.005,True,Monte Carlo q
"S4 median upper bound on s, k [0.40, 0.68], tau = 1",0.9511413190092117,0.9511608938089978,1.957479978609289e-05,0.005,True,Monte Carlo q
"S4 median lower bound on s, k [0.40, 0.68], tau = 1.84",0.24084417354810672,0.2406491867421132,0.00019498680599353002,0.005,True,Monte Carlo q
"S4 median upper bound on s, k [0.40, 0.68], tau = 1.84",0.9678060784457408,0.9678189766565802,1.2898210839384916e-05,0.005,True,Monte Carlo q
"S4 median lower bound on s, k [0.40, 0.68], tau = 3.4",0.029500385620253256,0.0292511158215739,0.00024926979867935517,0.005,True,Monte Carlo q
"S4 median upper bound on s, k [0.40, 0.68], tau = 3.4",0.9788483134870613,0.978856787723783,8.474236721789374e-06,0.005,True,Monte Carlo q
"S4 median lower bound on s, k [0.40, k(sigma_lin)], tau = 1",0.40515502069378473,0.4050022366163466,0.00015278407743812839,0.005,True,Monte Carlo q
"S4 median upper bound on s, k [0.40, k(sigma_lin)], tau = 1",0.9938519267596269,0.9938560806295216,4.153869894718554e-06,0.005,True,Monte Carlo q
"S4 median lower bound on s, k [0.40, k(sigma_lin)], tau = 1.84",0.24084417354810672,0.2406491867421132,0.00019498680599353002,0.005,True,Monte Carlo q
"S4 median upper bound on s, k [0.40, k(sigma_lin)], tau = 1.84",0.996958652672984,0.9969617350789506,3.0824059665812698e-06,0.005,True,Monte Carlo q
"S4 median lower bound on s, k [0.40, k(sigma_lin)], tau = 3.4",0.029500385620253256,0.0292511158215739,0.00024926979867935517,0.005,True,Monte Carlo q
"S4 median upper bound on s, k [0.40, k(sigma_lin)], tau = 3.4",0.9985020806639913,0.9985030927147251,1.0120507338839957e-06,0.005,True,Monte Carlo q
fixed zero point: reference median over 49 decisions,0.7345318547777187,0.7345318547777187,0.0,1e-09,True,
fixed zero point: constant sigma* = 0.6,0.8736271652944345,0.8736271652944344,1.1102230246251565e-16,1e-09,True,
fixed zero point: constant sigma* = 0.62,0.8506858358588216,0.8506858358588216,0.0,1e-09,True,
fixed zero point: sigma_lin(C_i),0.9570703872769184,0.9570703872769184,0.0,1e-09,True,
WP4b's unit share median (s_unit) against the reference,0.7345318547777187,0.7345318547777187,0.0,1e-09,True,
"coverage, bootstrap q alone, Chinchilla",0.935,0.919,0.016000000000000014,0.035,True,"Monte Carlo, 400 reps (s.e. about 0.012)"
"coverage, max rule, Chinchilla",0.97,0.961,0.009000000000000008,0.03,True,"Monte Carlo, 400 reps"
"coverage, bootstrap q alone, Llama 3",0.93,0.911,0.019000000000000017,0.035,True,"Monte Carlo, 400 reps (s.e. about 0.012)"
"coverage, max rule, Llama 3",0.9625,0.964,0.0014999999999999458,0.03,True,"Monte Carlo, 400 reps"
"coverage, bootstrap q alone, Marin",0.925,0.949,0.02399999999999991,0.035,True,"Monte Carlo, 400 reps (s.e. about 0.012)"
"coverage, max rule, Marin",0.945,0.963,0.018000000000000016,0.03,True,"Monte Carlo, 400 reps"
