period,tech,n,s
All 2019-2025,farseer,77,0.5409672715925038
All 2019-2025,farseer_emb,77,0.40778918348569465
All 2019-2025,farseer_q,77,0.6741873444869626
All 2019-2025,gadre_rw,77,0.7344598756906136
All 2019-2025,gadre_c4,77,0.5957365031693911
All 2019-2025,gadre_rp,77,0.6456614299878106
All 2019-2025,olmo,77,0.09953138428522519
All 2019-2025,meta_a2,77,0.3897255652660375
All 2019-2025,meta_a3,77,0.612275175140532
All 2019-2025,chin_q,77,0.6575274933783338
All 2019-2025,gadre_rw_q,77,0.7392845276690185
All 2019-2025,gadre_c4_q,77,0.6668713962711385
All 2019-2025,gadre_rp_q,77,0.7669861934867851
All 2019-2025,olmo_q,77,0.743355347635186
All 2019-2025,muen,77,0.5065206993492625
All 2019-2025,muen_q,77,0.8550458372858207
All 2019-2025,chin_ne,77,0.6656017286999859
All 2019-2025,marin_comma_a3,77,0.3299597066023322
All 2019-2025,marin_comma_a2,77,0.11145834512150263
All 2019-2025,marin_dclm_a3,77,0.504617780481774
All 2019-2025,marin_dclm_a2,77,0.21346145518590723
All 2019-2025,marin_nemotron_a3,77,0.5274007737106268
All 2019-2025,marin_nemotron_a2,77,0.2044868165319079
All 2019-2025,meta_mf,77,0.6856645860450689
All 2019-2025,marin_comma_mf,77,0.4878099800420088
All 2019-2025,marin_dclm_mf,77,0.54877886191824
All 2019-2025,marin_nemotron_mf,77,0.5561221741360706
All 2019-2025,deepseek,77,0.7169093519608646
All 2019-2025,minicpm,77,0.10092765122486339
