output,benchmark,sample,measure,n_models,n_families,theta_conv,delta_logodds,delta_lo,delta_hi,odds_ratio,odds_lo,odds_hi,compute_eq,compute_eq_lo,compute_eq_hi,B_ok,loss_Besiroglu,loss_Besiroglu_lo,loss_Besiroglu_hi,loss_Hoffmann,loss_Hoffmann_lo,loss_Hoffmann_hi,log_ratio_to_syverson_compute,log_ratio_to_syverson_loss_Besiroglu
y_core,"legacy benchmark (Table 8 design, 57 models)",All dense base models,"Within-developer residuals (Mertens design), own theta_C",128,38,0.4525449184208912,1.1174673537622195,0.7172049020330304,1.1940527073042457,3.0571018329752793,2.048698886286038,3.300429816133745,11.814126696757086,4.965934232313504,15.800570115019967,999,1.5531350103421127,1.330751516678868,1.63577417986283,1.4655740661396448,1.2815659124878969,1.5330437161593058,3.7853758308925323,0.6749325106481383
y_core,"legacy benchmark (Table 8 design, 57 models)",Drop distilled and synthetic-data,"Family effects, inputs netted with benchmark theta_C",121,36,0.38761199728435963,0.9378020197867656,0.6021911147653405,1.5047130087060367,2.55436080908231,1.8261156489761574,4.502861162882236,11.239506826027176,4.706938476680908,54.71100724932871,999,1.539388492204477,1.3181027831844128,2.0412614088325576,1.4543055956647806,1.2709835274695258,1.8580349531155547,3.7089399866706247,0.6613039996233724
y_core,"legacy benchmark (Table 8 design, 57 models)",Drop distilled and synthetic-data,"Family effects, within-family (theta_N, theta_D) netting",121,36,0.38761199728435963,0.964401450651728,0.6219910097341522,1.8125513252272265,2.623217061619594,1.8626328726259533,6.126057075084634,12.037885786601159,5.076826406701158,108.30665665368342,999,1.5583395892530991,1.3360020002763373,2.3055683135500824,1.469836993935655,1.2859547563971832,2.0652075678795225,3.8141388353361165,0.6800609543404296
y_core,"legacy benchmark (Table 8 design, 57 models)",Drop distilled and synthetic-data,"Within-developer residuals (Mertens design), own theta_C",121,36,0.45934981203290765,1.115407133454481,0.6892203670406724,1.1989244599737159,3.0508100131890803,1.992161772662024,3.316547923738886,11.338798081910465,4.144662028350908,15.447309231900661,999,1.5418044682339163,1.288541036858823,1.6291926952809697,1.4562870076265422,1.2461986198758375,1.5276871064086308,3.722423042064004,0.6637080284000119
y_core,"legacy benchmark (Table 8 design, 57 models)",Also drop code-specialised,"Family effects, inputs netted with benchmark theta_C",107,32,0.38761199728435963,0.7480266321986306,0.48716682802039235,0.8627016021575798,2.112826516224399,1.627698132386355,2.369553645452406,6.888363497296168,3.306755763559246,9.356228347275184,999,1.4107046338422562,1.2376828834323326,1.4898657874194914,1.3481566726334104,1.2033817932523592,1.4135992038014635,2.9583918873270214,0.5274812735104077
y_core,"legacy benchmark (Table 8 design, 57 models)",Also drop code-specialised,"Family effects, within-family (theta_N, theta_D) netting",107,32,0.38761199728435963,0.7134785568367512,0.4609608708610036,1.6580224511131718,2.041078933137739,1.5855968070288315,5.248920577157836,6.300966130877554,3.2545597750057196,73.52928200009622,999,1.3884629453326034,1.2341767586933083,2.151740358468148,1.329683335991791,1.2004215861201164,1.9450378146123295,2.8217567175698477,0.5031192227427038
y_core,"legacy benchmark (Table 8 design, 57 models)",Also drop code-specialised,"Within-developer residuals (Mertens design), own theta_C",107,32,0.4575950121202115,1.0328035888946636,0.45442283822389784,1.1902677922750426,2.808929890405057,1.5752639384783576,3.2879615802111535,9.554626157797383,3.020455720763265,14.372170014077025,999,1.495450707544033,1.2178587134769199,1.6083702301291858,1.418198692455236,1.1866296784277746,1.5107210241232225,3.4599698125001797,0.616912617568782
y_core,strict benchmark (20 models),All dense base models,"Family effects, inputs netted with benchmark theta_C",128,38,0.4883530106525902,1.2662514718034572,0.7295533724970821,1.9383688823951606,3.5475295924865056,2.074154026537676,6.947409681424121,13.368510065887467,4.409569720567575,51.669141800980356,999,1.587744438636982,1.3028501877077363,2.0205477866961825,1.4938866613571806,1.2582047334753441,1.8416546434961905,3.9748610076570965,0.7087177176652601
y_core,strict benchmark (20 models),All dense base models,"Family effects, within-family (theta_N, theta_D) netting",128,38,0.4883530106525902,1.1895038693282203,0.7797200590237008,1.7661119750350265,3.2854507900589693,2.1808616674921164,5.848071653570957,11.424337554418097,4.755414055839074,40.676203606828956,999,1.543871933315095,1.320512962077289,1.9361780029024187,1.4579822707353645,1.2730009974070255,1.774703452744277,3.733944365660619,0.6657622803972882
y_core,strict benchmark (20 models),All dense base models,"Within-developer residuals (Mertens design), own theta_C",128,38,0.4525449184208912,1.1174673537622195,0.7470544631982164,1.1973691334249204,3.0571018329752793,2.1107734898880484,3.311393618056017,11.814126696757086,5.134897808873105,15.15945934672972,999,1.5531350103421127,1.338713915526223,1.6237377423608612,1.4655740661396448,1.2882207342491627,1.5232452079292615,3.7853758308925323,0.6749325106481383
y_core,strict benchmark (20 models),Drop distilled and synthetic-data,"Family effects, inputs netted with benchmark theta_C",121,36,0.4883530106525902,1.1762598683811305,0.6950048376123302,1.7184439254117574,3.2422251487269524,2.0037187671323435,5.575845279039521,11.11867608605098,4.308175275977289,33.08625562570725,999,1.5364246415628182,1.2974611455102998,1.8661782038422237,1.4518742959059268,1.253685152822112,1.7188635412191844,3.692370425474011,0.6583496468620161
y_core,strict benchmark (20 models),Drop distilled and synthetic-data,"Family effects, within-family (theta_N, theta_D) netting",121,36,0.4883530106525902,0.964401450651728,0.6266548898661498,1.754346284875272,2.623217061619594,1.8713402583921164,5.779668250184846,7.205206878762054,3.5024371472321176,39.56233157436975,999,1.4220614481148575,1.2504353100622583,1.9266138094689977,1.3575744981635371,1.2141393259863278,1.7670897941053223,3.027330516318241,0.5397730310595424
