m_label,m,g_label,g,L,phi,rho,p,s_fleet
2025,4.52777152241207,frontier (estimated),1.6217254381592587,1.0,0.49480784452506826,4.424778761061947,2.0,0.5031427078603176
2025,4.52777152241207,frontier (estimated),1.6217254381592587,1.0,0.49480784452506826,8.130081300813009,1.0,0.21603451179724523
2025,4.52777152241207,frontier (estimated),1.6217254381592587,1.0,0.49480784452506826,8.130081300813009,2.0,0.35530983652422127
2025,4.52777152241207,frontier (estimated),1.6217254381592587,1.0,0.49480784452506826,10.416666666666666,1.0,0.1770063333872401
2025,4.52777152241207,frontier (estimated),1.6217254381592587,1.0,0.49480784452506826,10.416666666666666,2.0,0.30077379936919035
2025,4.52777152241207,frontier (estimated),1.6217254381592587,2.0,0.2962804304362891,1.0,1.0,0.5729215332198976
2025,4.52777152241207,frontier (estimated),1.6217254381592587,2.0,0.2962804304362891,1.0,2.0,0.7284807552314208
2025,4.52777152241207,frontier (estimated),1.6217254381592587,2.0,0.2962804304362891,4.424778761061947,1.0,0.23264438910662458
2025,4.52777152241207,frontier (estimated),1.6217254381592587,2.0,0.2962804304362891,4.424778761061947,2.0,0.37747202869310376
2025,4.52777152241207,frontier (estimated),1.6217254381592587,2.0,0.2962804304362891,8.130081300813009,1.0,0.14163331927040698
2025,4.52777152241207,frontier (estimated),1.6217254381592587,2.0,0.2962804304362891,8.130081300813009,2.0,0.24812401123842767
2025,4.52777152241207,frontier (estimated),1.6217254381592587,2.0,0.2962804304362891,10.416666666666666,1.0,0.11409016929294553
2025,4.52777152241207,frontier (estimated),1.6217254381592587,2.0,0.2962804304362891,10.416666666666666,2.0,0.2048131694140207
2025,4.52777152241207,3x per year (illustrative),1.0986122886681098,1.0,0.6068261510845583,1.0,1.0,0.7331604331014978
2025,4.52777152241207,3x per year (illustrative),1.0986122886681098,1.0,0.6068261510845583,1.0,2.0,0.8460387383636542
2025,4.52777152241207,3x per year (illustrative),1.0986122886681098,1.0,0.6068261510845583,4.424778761061947,1.0,0.3830781510912585
2025,4.52777152241207,3x per year (illustrative),1.0986122886681098,1.0,0.6068261510845583,4.424778761061947,2.0,0.5539501159627273
2025,4.52777152241207,3x per year (illustrative),1.0986122886681098,1.0,0.6068261510845583,8.130081300813009,1.0,0.2525885458211739
2025,4.52777152241207,3x per year (illustrative),1.0986122886681098,1.0,0.6068261510845583,8.130081300813009,2.0,0.40330649144740743
2025,4.52777152241207,3x per year (illustrative),1.0986122886681098,1.0,0.6068261510845583,10.416666666666666,1.0,0.20871473226089465
2025,4.52777152241207,3x per year (illustrative),1.0986122886681098,1.0,0.6068261510845583,10.416666666666666,2.0,0.34534986079055197
2025,4.52777152241207,3x per year (illustrative),1.0986122886681098,2.0,0.4045507673897055,1.0,1.0,0.6468569225696112
2025,4.52777152241207,3x per year (illustrative),1.0986122886681098,2.0,0.4045507673897055,1.0,2.0,0.7855654170130486
2025,4.52777152241207,3x per year (illustrative),1.0986122886681098,2.0,0.4045507673897055,4.424778761061947,1.0,0.29277003533827534
2025,4.52777152241207,3x per year (illustrative),1.0986122886681098,2.0,0.4045507673897055,4.424778761061947,2.0,0.4529344389726159
2025,4.52777152241207,3x per year (illustrative),1.0986122886681098,2.0,0.4045507673897055,8.130081300813009,1.0,0.18387383909096358
2025,4.52777152241207,3x per year (illustrative),1.0986122886681098,2.0,0.4045507673897055,8.130081300813009,2.0,0.3106308003767546
2025,4.52777152241207,3x per year (illustrative),1.0986122886681098,2.0,0.4045507673897055,10.416666666666666,1.0,0.14954740360876845
2025,4.52777152241207,3x per year (illustrative),1.0986122886681098,2.0,0.4045507673897055,10.416666666666666,2.0,0.26018483994534725
2025,4.52777152241207,2x per year (illustrative),0.6931471805599453,1.0,0.7213475204444817,1.0,1.0,0.7655936899553142
2025,4.52777152241207,2x per year (illustrative),0.6931471805599453,1.0,0.7213475204444817,1.0,2.0,0.8672365497349402
2025,4.52777152241207,2x per year (illustrative),0.6931471805599453,1.0,0.7213475204444817,4.424778761061947,1.0,0.424671645189645
2025,4.52777152241207,2x per year (illustrative),0.6931471805599453,1.0,0.7213475204444817,4.424778761061947,2.0,0.5961677508267035
2025,4.52777152241207,2x per year (illustrative),0.6931471805599453,1.0,0.7213475204444817,8.130081300813009,1.0,0.28659579932536544
2025,4.52777152241207,2x per year (illustrative),0.6931471805599453,1.0,0.7213475204444817,8.130081300813009,2.0,0.44551023635495124
2025,4.52777152241207,2x per year (illustrative),0.6931471805599453,1.0,0.7213475204444817,10.416666666666666,1.0,0.23870154432892754
2025,4.52777152241207,2x per year (illustrative),0.6931471805599453,1.0,0.7213475204444817,10.416666666666666,2.0,0.3854060656043587
2025,4.52777152241207,2x per year (illustrative),0.6931471805599453,2.0,0.5410106403333613,1.0,1.0,0.710109012195877
2025,4.52777152241207,2x per year (illustrative),0.6931471805599453,2.0,0.5410106403333613,1.0,2.0,0.8304839131676837
2025,4.52777152241207,2x per year (illustrative),0.6931471805599453,2.0,0.5410106403333613,4.424778761061947,1.0,0.35633508565859046
2025,4.52777152241207,2x per year (illustrative),0.6931471805599453,2.0,0.5410106403333613,4.424778761061947,2.0,0.5254381301882582
2025,4.52777152241207,2x per year (illustrative),0.6931471805599453,2.0,0.5410106403333613,8.130081300813009,1.0,0.23153617314804947
2025,4.52777152241207,2x per year (illustrative),0.6931471805599453,2.0,0.5410106403333613,8.130081300813009,2.0,0.37601197300798295
