cell,label,estimator,param,truth,R,mean,median,bias,mc_se_bias,median_bias,sd,rmse,mae,q05,q95,wald_computable,wald_cover,wald_median_width,boot_R,boot_cover,boot_median_width,corner_share,wald_cover_mcse,boot_cover_mcse,share_obj_above_truth,median_obj_minus_truth
iso16_sd0.015,"(ii) IsoFLOP +-16x, noise sd=0.015",primal,lnMstar,2.8979598554678856,500,2.9083863034812056,2.89484013255578,0.010426448013319696,0.015270546071374128,-0.0031197229121058268,0.3414597906913491,0.3412774676122589,0.22719885567087283,2.342553234292856,3.4682590298598677,1.0,0.942,1.3575223411124506,,,,0.0,0.010453324829928518,,0.0,-3.983292596792702e-05
iso16_sd0.015,"(ii) IsoFLOP +-16x, noise sd=0.015",dual,alpha,0.3478,500,0.34685331035754247,0.34300347800199366,-0.0009466896424575268,0.0028236373908217937,-0.004796521998006342,0.06313845149687672,0.0630823854224596,0.03959816493849497,0.24725750802857158,0.4508737327393736,,,,,,,,,,,
iso16_sd0.015,"(ii) IsoFLOP +-16x, noise sd=0.015",dual,beta,0.3658,500,0.3637307321647677,0.3608816122054894,-0.002069267835232351,0.0029835265796509386,-0.00491838779451062,0.0667136824477694,0.06667905116499677,0.042553964499987995,0.2544595112325951,0.4761415269127018,,,,,,,,,,,
iso16_sd0.015,"(ii) IsoFLOP +-16x, noise sd=0.015",dual,a,0.5126121076233184,500,0.511806817912922,0.5115093386689039,-0.0008052897103963449,0.0006364200363794853,-0.0011027689544145236,0.014230784635874185,0.014239336094340834,0.009175615050594943,0.4873478287444654,0.5344703880130672,,,,,,,,,,,
iso16_sd0.015,"(ii) IsoFLOP +-16x, noise sd=0.015",dual,gamma,0.17828649103139016,500,0.1773993548687477,0.17674577501115446,-0.0008871361626424544,0.0014300444926177397,-0.0015407160202357134,0.03197676696342462,0.031957090117114326,0.02033674140164951,0.12707320956256168,0.2298995584714021,,,,,,,,,,,
iso16_sd0.015,"(ii) IsoFLOP +-16x, noise sd=0.015",dual,sigma_star,0.7370283018867925,500,0.7394958854693775,0.7385664283759721,0.002467583582584972,0.0015654095072006543,0.0015381264891795587,0.0350036207072511,0.035055554829854084,0.022153355728588897,0.6847893587537064,0.7973006493127057,,,,,,,,,,,
iso16_sd0.015,"(ii) IsoFLOP +-16x, noise sd=0.015",dual,lnMstar,2.8979598554678856,500,2.9421487414442407,2.9439725875238842,0.04418888597635521,0.012567027804270426,0.04601273205599865,0.28100728445478595,0.2841827253241319,0.17653718916506733,2.4955293660040416,3.3999497673061074,,,,,,,,,,,
opt_s0.3_sd0.015,"(iv) Optimizing labs s=0.3, noise sd=0.015",primal,alpha,0.3478,500,0.3591789847943143,0.3480222211546942,0.011378984794314349,0.00610993331892587,0.00022222115469422432,0.1366222623910915,0.1369590909383082,0.0888374797746348,0.148555217279629,0.5851875001210077,0.986,0.9574036511156186,0.545943926053236,,,,0.0,0.009095158414474384,,0.0,-4.343291420927473e-05
opt_s0.3_sd0.015,"(iv) Optimizing labs s=0.3, noise sd=0.015",primal,beta,0.3658,500,0.3787486359336965,0.3733887788506255,0.012948635933696455,0.006855025537768799,0.0075887788506254494,0.15328303089948087,0.15367616392645658,0.09219504105999615,0.1418027985906033,0.6390818034079865,0.986,0.9553752535496958,0.6034393142026009,,,,0.0,0.009299324764964418,,0.0,-4.343291420927473e-05
opt_s0.3_sd0.015,"(iv) Optimizing labs s=0.3, noise sd=0.015",primal,a,0.5126121076233184,500,0.5092980778256775,0.5079611722852068,-0.0033140297976409325,0.00809834802542867,-0.0046509353381116725,0.18108456690309702,0.18093374456756514,0.12441266749809116,0.20821904702626068,0.8127098334833378,0.986,0.9188640973630832,0.7273022197492193,,,,0.0,0.012297270260610445,,0.0,-4.343291420927473e-05
