model,family,developer,N,D,M,date,in_strict_hull,in_legacy_hull
huggyllama/llama-65b,Llama,Meta,65285665792.0,1400000000000.0,21.444217241505925,2023-02-24,False,False
meta-llama/Llama-2-7b-hf,Llama-2,Meta,6738417664.0,2000000000000.0,296.80558548411165,2023-07-18,False,True
meta-llama/Llama-2-13b-hf,Llama-2,Meta,13015866880.0,2000000000000.0,153.6586090222828,2023-07-18,False,False
meta-llama/Llama-2-70b-hf,Llama-2,Meta,68976653312.0,2000000000000.0,28.99531803831451,2023-07-18,False,False
meta-llama/Meta-Llama-3-8B,Llama-3,Meta,8030261248.0,15000000000000.0,1867.9342473118006,2024-04-18,False,False
meta-llama/Meta-Llama-3-70B,Llama-3,Meta,70553706496.0,15000000000000.0,212.60399694026586,2024-04-18,False,False
meta-llama/Meta-Llama-3.1-8B,Llama-3.1,Meta,8030261248.0,15000000000000.0,1867.9342473118006,2024-07-23,False,False
meta-llama/Meta-Llama-3.1-70B,Llama-3.1,Meta,70553706496.0,15000000000000.0,212.60399694026586,2024-07-23,False,False
facebook/opt-125m,OPT,Meta,125000000.0,180000000000.0,1440.0,2022-05-02,False,False
facebook/opt-350m,OPT,Meta,350000000.0,180000000000.0,514.2857142857143,2022-06-21,True,True
facebook/opt-1.3b,OPT,Meta,1300000000.0,180000000000.0,138.46153846153845,2022-06-21,True,True
facebook/opt-2.7b,OPT,Meta,2700000000.0,180000000000.0,66.66666666666667,2022-06-21,True,True
facebook/opt-6.7b,OPT,Meta,6700000000.0,180000000000.0,26.865671641791046,2022-06-21,False,True
facebook/opt-13b,OPT,Meta,13000000000.0,180000000000.0,13.846153846153847,2022-05-02,False,False
facebook/opt-30b,OPT,Meta,30000000000.0,180000000000.0,6.0,2022-06-21,False,False
facebook/opt-66b,OPT,Meta,66000000000.0,180000000000.0,2.727272727272727,2022-06-21,False,False
facebook/xglm-564M,XGLM,Meta,564000000.0,500000000000.0,886.5248226950355,2021-12-20,False,False
facebook/xglm-1.7B,XGLM,Meta,1700000000.0,500000000000.0,294.11764705882354,2021-12-20,True,True
facebook/xglm-4.5B,XGLM,Meta,5076815872.0,500000000000.0,98.48692814676104,2021-12-20,False,True
facebook/xglm-7.5B,XGLM,Meta,7500000000.0,500000000000.0,66.66666666666667,2021-12-20,False,True
microsoft/phi-1_5,Phi,Microsoft,1418270720.0,150000000000.0,105.76260081009076,2023-09-11,True,True
microsoft/phi-2,Phi,Microsoft,2779683840.0,1400000000000.0,503.65440121420426,2023-12-12,False,True
mosaicml/mpt-7b,MPT,MosaicML,7000000000.0,1000000000000.0,142.85714285714286,2023-05-05,False,True
mosaicml/mpt-30b,MPT,MosaicML,30000000000.0,1000000000000.0,33.333333333333336,2023-06-22,False,False
openlm-research/open_llama_3b,OpenLlama,OpenLM Research,3000000000.0,1000000000000.0,333.3333333333333,2023-06-07,False,True
openlm-research/open_llama_7b,OpenLlama,OpenLM Research,7000000000.0,1000000000000.0,142.85714285714286,2023-06-07,False,True
openlm-research/open_llama_13b,OpenLlama,OpenLM Research,13000000000.0,1000000000000.0,76.92307692307692,2023-05-01,False,False
openlm-research/open_llama_3b_v2,OpenLlamaV2,OpenLM Research,3000000000.0,1000000000000.0,333.3333333333333,2023-07-16,False,True
openlm-research/open_llama_7b_v2,OpenLlamaV2,OpenLM Research,7000000000.0,1000000000000.0,142.85714285714286,2023-07-06,False,True
Salesforce/codegen-6B-nl,Codegen,Salesforce,6000000000.0,360000000000.0,60.0,2022-03-25,False,True
Salesforce/codegen-16B-nl,Codegen,Salesforce,16000000000.0,360000000000.0,22.5,2022-03-25,False,False
internlm/internlm2-20b,InternLM2,Shanghai AI Lab,20000000000.0,2600000000000.0,130.0,2024-01-12,False,False
stabilityai/stablelm-2-1_6b,StableLM,Stability AI,1644515328.0,2000000000000.0,1216.1637936402378,2024-01-18,False,False
stabilityai/stablelm-base-alpha-3b,StableLM,Stability AI,3000000000.0,1500000000000.0,500.0,2023-04-17,False,True
stabilityai/stablelm-base-alpha-7b-v2,StableLM,Stability AI,6889414656.0,1100000000000.0,159.66523353939925,2023-08-05,False,True
stabilityai/stablelm-base-alpha-7b,StableLM,Stability AI,7000000000.0,1500000000000.0,214.28571428571428,2023-04-11,False,True
tiiuae/falcon-rw-1b,Falcon,TII,1000000000.0,350000000000.0,350.0,2023-04-26,True,True
tiiuae/falcon-7b,Falcon,TII,7217189760.0,1500000000000.0,207.83712911547445,2023-04-24,False,True
tiiuae/falcon-40b,Falcon,TII,41835970560.0,1000000000000.0,23.902875602367764,2023-03-15,False,False
tiiuae/falcon-180B,Falcon,TII,179522565120.0,3500000000000.0,19.49615636151623,2023-09-06,False,False
TinyLlama/TinyLlama_v1.1,TinyLlama,TinyLlama,1100000000.0,3000000000000.0,2727.2727272727275,2024-03-09,False,False
togethercomputer/RedPajama-INCITE-Base-3B-v1,RedPajama-INCITE-Base,Together,3000000000.0,800000000000.0,266.6666666666667,2023-05-04,False,True
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,RedPajama-INCITE-Base,Together,7000000000.0,1000000000000.0,142.85714285714286,2023-05-05,False,True
