rep,chi|val1,wcu|val1|lo,wcu|val1|hi,wcu|val1|se,wcu|val1|p_wcr,wcu|val1|se_wcr,cr2|val1|lo,cr2|val1|hi,cr2|val1|se,cr2|val1|p_wcr,cr2|val1|se_wcr,chi|val2,wcu|val2|lo,wcu|val2|hi,wcu|val2|se,wcu|val2|p_wcr,wcu|val2|se_wcr,cr2|val2|lo,cr2|val2|hi,cr2|val2|se,cr2|val2|p_wcr,cr2|val2|se_wcr
49,0.2219789474460825,0.1971379066117811,0.24887272226755824,0.014549172043658763,0.02,0.11836348573118508,0.1921352324315289,0.25636756295669344,0.017142139605544567,0.03,0.12986435815957248,0.19447595595164469,0.16722142497533135,0.2145026797847875,0.011493081125031564,0.01,0.10742612745233796,0.16580664241241988,0.21370952137431,0.012820109693397757,0.02,0.11273383918629103
52,0.21719789147660595,0.19914752622551646,0.23497077603481586,0.008851978170587312,0.01,0.12780674016203936,0.19703703280296617,0.23885249752874632,0.010405641934174398,0.05,0.1355651803043619,0.21308074622877005,0.20291101236999717,0.2242968789367211,0.006335949712057733,0.02,0.12055385803036507,0.2014907014551733,0.22531046401834537,0.00699609658194826,0.01,0.12975723994270358
54,0.21985028288972597,0.20556583025864827,0.22861998355214838,0.005884698563969694,0.02,0.12833067916946808,0.20093080882138034,0.23187121651827836,0.007789825031125347,0.03,0.1395846173323543,0.21199365472149978,0.19751466853665875,0.2275344773640354,0.008867815247121132,0.04,0.11981640361786737,0.1921943543872211,0.23291908127820435,0.01289126493111496,0.06,0.12803402560291519
53,0.21287219799311696,0.19998681367327284,0.22797120606746318,0.008000997410048392,0.02,0.12525138078401132,0.20061506900968196,0.22822762934959967,0.007883878242700886,0.05,0.13105580972658182,0.23485068295730915,0.22099032145757042,0.25347763732221656,0.008091188348654695,0.01,0.11635980027375505,0.21750268862112826,0.2569326809555569,0.010314772510764677,0.03,0.12394459632534657
55,0.201351498951019,0.16772460398081918,0.23354365281780548,0.017633828820953636,0.02,0.10903925679641785,0.16120004954817202,0.23863522429756734,0.023643900853865713,0.04,0.11909991105544643,0.2077442102504783,0.17865544822806095,0.23811425676555054,0.015498947137758016,0.02,0.12063525266720986,0.17188114117254888,0.24712941320816456,0.02003889701780947,0.05,0.12562745882061482
56,0.20965699475945865,0.19736778246279482,0.21990113253511426,0.006399580440887317,0.02,0.12395234185934838,0.19526513930192962,0.22132147978607217,0.007333403746214513,0.03,0.13070972912671067,0.2306455299011816,0.2017743639355053,0.2626915728978797,0.017943909628016112,0.01,0.1236154494437001,0.19093191244422758,0.27361817353836027,0.023693355027459128,0.04,0.1308201962887477
58,0.21611356069748844,0.1977168694082609,0.23377017872989803,0.00930936905374373,0.03,0.12500928832194433,0.19485087474515667,0.2368968519138244,0.010962583004534327,0.07,0.13256606617682826,0.23792568569250605,0.22675498586531959,0.24789577307301922,0.0060505644347031125,0.02,0.15015201910234527,0.22427125255561992,0.25050738075834134,0.007147238043003871,0.07,0.1607102130441651
57,0.226572050241451,0.19815202812945942,0.25739885605805146,0.016754144044007265,0.01,0.10536458618232965,0.1926409031649196,0.2646219566361766,0.019255038682891926,0.01,0.11824354332081449,0.22408545832224824,0.2079075748472226,0.23973759884197768,0.00951063573073611,0.03,0.1147862202282125,0.2068378819409014,0.24184145082420888,0.009990781151435361,0.06,0.12444235919202463
59,0.22617552755778547,0.19917720866258126,0.24782065141091147,0.012390300776167948,0.02,0.1251333016438257,0.19068156889109983,0.2541980952118014,0.016550230093986835,0.04,0.13725954809879617,0.22257928746530364,0.18752943206487938,0.25351665846410165,0.017727699516210796,0.02,0.12385687756511721,0.18670153630446662,0.2577665884961685,0.019719226571580897,0.04,0.1321476283632251
60,0.21426332699869466,0.20097890250171307,0.22730306710365372,0.007693076845686648,0.03,0.12886720382536657,0.19882131968941635,0.23067929141303037,0.009502756031389125,0.08,0.14051971733073745,0.2158334769736543,0.1993442857118098,0.2340572746887173,0.009997503657192364,0.04,0.1393042930790643,0.19739990079466993,0.2373907047907559,0.010771195670381274,0.07,0.14760387850396733
62,0.21865328271662055,0.205578010769918,0.23378640717223612,0.007698088584298035,0.01,0.12823851175404477,0.20272404869340682,0.23658887331469583,0.00891627522837612,0.02,0.13706848018916684,0.21873729226250394,0.20691174353907088,0.2333349442244272,0.007608775775721077,0.02,0.1113523577613719,0.2000011577675543,0.23992211676195424,0.009932533231462143,0.02,0.12036171444470338
