set,variant,members,k,mu_fixed,se_fixed,Q,df,p_Q,I2,tau2,tau,mu_re,se_re,lo_re,hi_re,se_hksj,lo_hksj,hi_hksj,pi_lo,pi_hi
"sigma* under kappa = 1 (Chinchilla form), seven technologies (m2 Table 4 SEs)",leave out Chinchilla,"Farseer; Gadre, C4; Gadre, RedPajama; Gadre, RefinedWeb; OLMo ladder; Muennighoff",6,0.7846201412941247,0.006380718970873506,7.225522225989446,5,0.2044009568915325,0.30800849494095744,0.00012185522300630437,0.011038805325138422,0.7858426522647892,0.008302219980951497,0.7695703011021243,0.8021150034274541,0.008583379819347961,0.7637783720128061,0.8079069325167724,0.7474933134667341,0.8241919910628444
"sigma* under kappa = 1 (Chinchilla form), seven technologies (m2 Table 4 SEs)",leave out Farseer,"Chinchilla; Gadre, C4; Gadre, RedPajama; Gadre, RefinedWeb; OLMo ladder; Muennighoff",6,0.7571948939551386,0.004912121927901618,34.72254732400249,5,1.7091784609232256e-06,0.8560013482494796,0.0012855680864524153,0.03585481957076922,0.7787581180978501,0.016738888150857775,0.7459498973221689,0.8115663388735314,0.016738888150857775,0.7357294362685072,0.8217867999271931,0.6688951127712289,0.8886211234244713
"sigma* under kappa = 1 (Chinchilla form), seven technologies (m2 Table 4 SEs)","leave out Gadre, C4","Chinchilla; Farseer; Gadre, RedPajama; Gadre, RefinedWeb; OLMo ladder; Muennighoff",6,0.7579395308023458,0.004550636057001755,32.839005810356284,5,4.050838530938907e-06,0.8477420410083434,0.0009024143435536208,0.030040212108998512,0.7741500551461096,0.014266716407532996,0.7461872909873449,0.8021128193048742,0.014266716407532996,0.7374762930947307,0.8108238171974884,0.6818169304841319,0.8664831798080872
"sigma* under kappa = 1 (Chinchilla form), seven technologies (m2 Table 4 SEs)","leave out Gadre, RedPajama","Chinchilla; Farseer; Gadre, C4; Gadre, RefinedWeb; OLMo ladder; Muennighoff",6,0.7552884746169329,0.004712488070261125,28.152062101283246,5,3.399017437207576e-05,0.8223931169940092,0.0008593122306596284,0.029314027881879836,0.7734399070179603,0.014225713988412991,0.7455575076006709,0.8013223064352497,0.014225713988412991,0.7368715450403884,0.8100082689955321,0.6829736634518783,0.8639061505840423
"sigma* under kappa = 1 (Chinchilla form), seven technologies (m2 Table 4 SEs)","leave out Gadre, RefinedWeb","Chinchilla; Farseer; Gadre, C4; Gadre, RedPajama; OLMo ladder; Muennighoff",6,0.7562220752276259,0.004649445349257101,29.597849098552633,5,1.769511271588554e-05,0.8310688055962653,0.0008669571587489795,0.029444136237101258,0.7734125815969642,0.014216060012290045,0.7455491039728758,0.8012760592210527,0.014216060012290045,0.7368690359550557,0.8099561272388728,0.6826328665225306,0.8641922966713979
"sigma* under kappa = 1 (Chinchilla form), seven technologies (m2 Table 4 SEs)",leave out OLMo ladder,"Chinchilla; Farseer; Gadre, C4; Gadre, RedPajama; Gadre, RefinedWeb; Muennighoff",6,0.7587277437980006,0.004470361989647104,32.54385036409358,5,4.63557458235381e-06,0.8463611421494053,0.0008324691058391226,0.02885254071722493,0.7725345947736856,0.013418039221399712,0.7462352378997421,0.798833951647629,0.013418039221399712,0.7380424268812998,0.8070267626660713,0.684188090481061,0.8608810990663102
"sigma* under kappa = 1 (Chinchilla form), seven technologies (m2 Table 4 SEs)",leave out Muennighoff,"Chinchilla; Farseer; Gadre, C4; Gadre, RedPajama; Gadre, RefinedWeb; OLMo ladder",6,0.7604020667759198,0.004478720054106141,35.616264705548154,5,1.1333429283369403e-06,0.8596147001563271,0.0009321686350820668,0.03053143683291153,0.781616899630243,0.014119167948819027,0.7539433304505576,0.8092904688099283,0.014119167948819027,0.7453224229667104,0.8179113762937755,0.6882226536899846,0.8750111455705013
"sigma* under kappa = 1 (Chinchilla form), seven technologies (m2 Table 4 SEs)",one estimate per study (inverse-variance within study),Hoffmann et al. (2022); Li et al. (2025); Gadre et al. (2025); Bhagia et al. (2024); Muennighoff et al. (2023),5,0.7598638845159987,0.0044318607182944674,36.306294545850214,4,2.5028133236153987e-07,0.8898262670416969,0.001007221133325166,0.03173674736524154,0.7701095781691883,0.016317369486206275,0.7381275339762241,0.8020916223621526,0.016317369486206275,0.7248052975295071,0.8154138588088696,0.6565413752268509,0.8836777811115258
"model-free sigma*, IsoFLOP designs and Farseer's local path",all technologies,"Chinchilla; Llama 3; Marin, Comma; Marin, DCLM; Marin, Nemotron-CC; Porian, RefinedWeb; Porian, OpenWebText2; Farseer (local path)",8,0.6209426541916092,0.0066496851990652675,188.88615093543893,7,2.5808812213242005e-37,0.9629406392933879,0.009696258111947081,0.0984695796271472,0.6459036849527018,0.03566434490893517,0.5760015689311888,0.7158058009742148,0.03566434490893517,0.5615709100638641,0.7302364598415395,0.3896405844389526,0.902166785466451
"model-free sigma*, IsoFLOP designs and Farseer's local path",leave out Chinchilla,"Llama 3; Marin, Comma; Marin, DCLM; Marin, Nemotron-CC; Porian, RefinedWeb; Porian, OpenWebText2; Farseer (local path)",7,0.6176195450107147,0.006856851008246707,184.93951421139178,6,3.0287029850842074e-37,0.96755696030897,0.010371132986794197,0.10183875974693622,0.6421536597119374,0.03930493655498237,0.565115984064172,0.7191913353597028,0.03930493655498237,0.5459779446470495,0.7383293747768253,0.3615477052302372,0.9227596141936376
