key,label,group,form,n_conv,in_set,sensitivity,a,sigma_star,S2,Mstar_1e21,Mstar_1e24,share_M_extrap,share_C_extrap,n,med_w,share_gt1,med_s,med_w_lo,med_w_hi,share_gt1_lo,share_gt1_hi,med_s_lo,med_s_hi,B
gadre_rw_q,"Gadre et al. RefinedWeb, kappa free",Gadre et al.,kappa free,total,True,False,0.47693532478942063,0.594477159190701,0.6821504149316059,44.32052719993317,60.95270292633108,0.45454545454545453,0.948051948051948,77,4.763980431934067,0.8831168831168831,0.7900914971655283,3.3855911154196523,15.385876672806516,0.8438311688311688,1.0,0.7046305899817007,0.9350053280612678,200
gadre_c4_q,"Gadre et al. C4, kappa free",Gadre et al.,kappa free,total,True,False,0.4631055657789476,0.6067287961698127,0.6481828558539647,47.145567053051,78.48876018716652,0.45454545454545453,0.948051948051948,77,3.8855488853381384,0.8831168831168831,0.7426361038015932,1.8591875717728867,10.604917339408832,0.6883116883116883,1.0,0.462127264481636,0.9056823374498978,200
gadre_rp_q,"Gadre et al. RedPajama, kappa free",Gadre et al.,kappa free,total,True,False,0.4947048151901647,0.6231797839540552,0.6046733635276693,30.056664298514228,32.33790565024368,0.45454545454545453,0.948051948051948,77,5.640024266503702,0.935064935064935,0.8226957983250117,3.4829513620603234,12.87634324730425,0.8831168831168831,1.0,0.7128871763973544,0.9223376754388557,200
olmo_q,"OLMo ladder (AI2), kappa free",OLMo ladder,kappa free,olmo,True,False,0.43079881341437265,0.5441918103531439,0.8375873744793536,54.45839894586335,141.66807366978298,0.7402597402597403,0.8831168831168831,77,4.052488056189682,0.8441558441558441,0.7532380142434666,3.222373093205279,5.317507698120659,0.7662337662337663,0.8574675324675325,0.6896384541032388,0.8118299088896135,200
muen,"Muennighoff et al., single epoch",Muennighoff et al.,kappa = 1,total,True,False,0.5351989283763525,0.734547630504754,0.36138210576329405,59.63013038939475,36.6667306880666,0.6103896103896104,0.935064935064935,77,2.5544669064180403,0.922077922077922,0.6085288881654631,0.5395342859610223,10.018679835354892,0.2597402597402597,1.0,-0.8534564829433116,0.9001864461641679,400
muen_q,"Muennighoff et al., kappa free",Muennighoff et al.,kappa free,total,True,False,0.44430475206321374,0.5107306168712504,0.9579793475590459,46.3181344621291,99.98216732695872,0.6103896103896104,0.935064935064935,77,6.2394184865744435,0.8571428571428571,0.8397286538558469,1.1104845029198362,35.51495041702516,0.5324675324675324,0.9743506493506494,0.0994912935804703,0.9718412393582749,200
chin_ne,"Chinchilla, non-embedding N (m8)",Chinchilla,kappa = 1,nonemb,True,False,0.5561105649981141,0.75261269880731,0.32870465989310665,21.08044966485007,9.709938529556435,0.5714285714285714,0.8701298701298701,77,3.647335899172349,1.0,0.7258272811596762,2.825628346064535,4.705164296019388,0.974025974025974,1.0,0.6460932220714882,0.7874671954292185,399
marin_comma_a3,"Marin comma, primal",Marin,kappa = 1,total,True,False,0.3445042756857398,0.6631971928477981,0.5078471543372425,26.626572634052366,228.18632481893187,0.2077922077922078,1.0,77,2.10254048977206,0.7792207792207793,0.5243849025193271,1.4663153370020388,3.7077101514946142,0.6883116883116883,0.8831168831168831,0.318018419090271,0.7302865391557718,200
marin_comma_a2,"Marin comma, A2/A1 law",Marin,A2/A1 path (kappa=1),total,True,False,0.4049294587482616,0.904446351886696,0.10564877387583785,15.602979492071295,58.02708913224656,0.2077922077922078,1.0,77,1.3142765318607217,0.8831168831168831,0.23912511883307874,1.1249030577245038,1.5369412164332321,0.7100649350649351,0.9522727272727272,0.11097898475547052,0.34934012883626775,188
marin_dclm_a3,"Marin dclm, primal",Marin,kappa = 1,total,True,False,0.37117687075037675,0.6471160994354697,0.5453177580844901,17.862340665177953,105.89541174817701,0.2077922077922078,1.0,77,3.1650699958925164,0.8571428571428571,0.6840512212059277,2.367640547008918,5.868362736631428,0.7792207792207793,0.922077922077922,0.5776384648966053,0.8295945195704614,200
marin_dclm_a2,"Marin dclm, A2/A1 law",Marin,A2/A1 path (kappa=1),total,True,False,0.423579071485716,0.8656940992796529,0.15514244677433245,11.31874005202327,32.53296583052131,0.2077922077922078,1.0,77,1.6178195773270596,0.922077922077922,0.381884102520142,1.2591991581120192,2.395421128920013,0.765909090909091,1.0,0.2058444448619317,0.5825039499899077,200
marin_nemotron_a3,"Marin nemotron, primal",Marin,kappa = 1,total,True,False,0.38511292695443444,0.6579760219686652,0.5198122220441992,16.73769222815777,81.84987416779883,0.2077922077922078,1.0,77,3.3249363849229603,0.8701298701298701,0.6992423660992328,2.363467036430123,6.459966951246178,0.8181818181818182,0.987012987012987,0.5768927489373709,0.8451976446730776,200
marin_nemotron_a2,"Marin nemotron, A2/A1 law",Marin,A2/A1 path (kappa=1),total,True,False,0.4223734822719683,0.8672896392049884,0.1530173482951582,12.017043134540915,35.120179458932604,0.2077922077922078,1.0,77,1.5894985028374893,0.922077922077922,0.3708707506079103,1.3426818104540426,2.0883662028339773,0.8571428571428571,1.0,0.2552204521335785,0.5211306014928718,200
meta_mf,Meta Llama 3: own path + model-free curvature,Meta Llama 3,model-free curvature,total,True,False,0.46322087290540404,0.6595077631182621,0.5162823789546223,18.84725216090587,31.32728828763813,0.45454545454545453,0.935064935064935,77,4.735422443401391,0.922077922077922,0.7888255985707342,3.5540224691668953,6.450806146744342,0.922077922077922,0.961038961038961,0.7186286593911583,0.8449806000762948,999
meta_mfbc,"Meta Llama 3: model-free curvature, ra2 estimator bias-corrected",Meta Llama 3,model-free curvature,total,False,True,0.46322087290540404,0.6776028819696598,0.4757906535066593,18.84725216090587,31.32728828763813,0.45454545454545453,0.935064935064935,77,4.191705259331005,0.922077922077922,0.7614336080109794,3.8124305655135693,4.622784327401643,0.922077922077922,0.961038961038961,0.7377001139536957,0.7836801525017074,999
