n,scheme,estimator,vs,param,diff,sd_diff,z,p,lo,hi,corr,B
245,pairs,gauss_log,huber,Mstar_5.76e+23,-4.771288285894734,4.684915882389241,-1.0184362762691577,0.3084706699183386,-16.57232090600814,0.04704208473094299,0.6067707072890434,400
245,pairs,gauss_log,huber,w_chin70b,1.5373660668489062,0.7053937467501528,2.179443855196854,0.029298711240119256,0.15979477337817607,2.863461487129559,0.5382818236937553,400
245,pairs,nls_lev,huber,alpha,0.01912308522454914,0.015371092809941866,1.244094057657405,0.21346494782514858,-0.009953714402523683,0.05243966620777044,0.6864379166139648,400
245,pairs,nls_lev,huber,beta,0.20834750841921484,0.07347096709194235,2.8357801273867342,0.004571390566524627,0.05728938848150229,0.37433242597588545,0.26038909465363275,400
245,pairs,nls_lev,huber,a,0.07759271069460638,0.033843656344514715,2.292681083413211,0.021866372389994167,0.007736333889369134,0.14410388706282143,0.39332586778449913,400
245,pairs,nls_lev,huber,gamma,0.039385688918940204,0.012016077240780855,3.2777493128348727,0.0010463827982617705,0.016703224434715096,0.06552721169441426,0.44262748672641317,400
245,pairs,nls_lev,huber,sigma_star,-0.05358118699764247,0.016958764942056403,-3.1594981816609384,0.0015804108662420937,-0.08922537944782573,-0.01898092283047989,0.30286627128353466,400
245,pairs,nls_lev,huber,Mstar_1e+21,-8.171877024122704,3.6187984064367473,-2.258174152389204,0.02393480405541351,-15.111395974117592,-0.9359189730746991,0.3956779443987868,400
245,pairs,nls_lev,huber,Mstar_5.76e+23,-5.613942152197221,5.131244064765724,-1.0940703816343484,0.27392411130813654,-19.736913271436194,-0.4266448383174099,0.46259893224847287,400
245,pairs,nls_lev,huber,w_chin70b,2.7249007900769655,2.4514717622988047,1.111536682568907,0.2663374095691923,0.3664379338094423,11.57233647021135,0.15438726324420568,400
245,cluster,lad_log,huber,alpha,-0.003988563986554894,0.0035354033280269323,-1.1281779238412566,0.25924478523767014,-0.006498831278754289,0.006750052407337601,0.9918600227561377,400
