dataset,null,bootstrap,cov,d_a,d_lnNstar_ref,d_gamma,d_Lstar_ref,W_slope,p_slope_chi2,p_slope_boot,W_path,p_path_chi2,p_path_boot,W_frontier,p_frontier_chi2,p_frontier_boot,W_all,p_all_chi2,p_all_boot,B,se_a_ols,sd_a3_strat,rse_a3_strat,t_a_ols_plus_a3,p_a_ols_plus_a3
Chinchilla n=245,"Besiroglu (fixed), analytic","wild, fixed design",sd,-0.027247334327831885,0.08822520614137375,-0.02390288989655734,-0.010642550899050196,0.0035239886332605994,0.9526628294005977,0.947103274559194,0.021829399690279108,0.9891446493686757,0.9042821158690176,0.3445479568951659,0.8417485206200944,0.801007556675063,5.31299740472601,0.256662663027278,0.4534005037783375,396,,,,,
Chinchilla n=245,"Besiroglu (fixed), design","wild, fixed design",robust,-0.02783516860724955,0.05477477668201303,-0.022518869440068978,-0.011271447745982321,0.0247060297566323,0.875101793348497,0.9445843828715366,0.04195754313907313,0.9792397520717997,0.964735516372796,6.2230232351630255,0.04453358668268159,0.24685138539042822,10.367845072287958,0.034666906459422046,0.3047858942065491,396,,,,,
Chinchilla n=245,"Besiroglu (fixed), design","wild, fixed design",sd,-0.02783516860724955,0.05477477668201303,-0.022518869440068978,-0.011271447745982321,0.0036776819674528395,0.951642814898055,0.9445843828715366,0.00671481401787987,0.9966482227797122,0.9672544080604534,0.31428378157058146,0.8545827927910575,0.8136020151133502,4.8782477450919615,0.3000197054011431,0.49370277078085645,396,,,,,
Meta Llama 3 IsoFLOPs,"A3 (this fit), analytic",stratified pairs,robust,-0.06359857775779493,-0.004509874096282118,-0.012935298994981137,-0.000863898143989017,5.516297325549423,0.018840095006965096,0.03980099502487562,16.014174973028304,0.00033309344673850157,0.014925373134328358,28.294264606618,7.177587671087028e-07,0.03482587064676617,56.55396996436797,1.5345738995307488e-11,0.004975124378109453,200,0.0181941451850458,0.023824043151862165,0.023356522472290243,-2.148117586415007,0.03170441548338314
Meta Llama 3 IsoFLOPs,"A3 (this fit), analytic",stratified pairs,sd,-0.06359857775779493,-0.004509874096282118,-0.012935298994981137,-0.000863898143989017,5.520731445413091,0.018792399621596192,0.03980099502487562,17.312266714781433,0.0001740560198524206,0.009950248756218905,20.323385242350565,3.862184066489914e-05,0.014925373134328358,46.05169714108051,2.402590525719905e-09,0.004975124378109453,200,0.0181941451850458,0.023824043151862165,0.023356522472290243,-2.148117586415007,0.03170441548338314
Meta Llama 3 IsoFLOPs,"A3 (this fit), design-consistent",stratified pairs,robust,-0.06321961658111647,-0.002647804170173629,-0.013039710871292798,-0.0008323916587287261,5.491946634226475,0.01910426066461484,0.04975124378109453,16.86120897215455,0.00021808961839907148,0.014925373134328358,28.200519566937842,7.522028639627629e-07,0.03482587064676617,56.98157794654189,1.2482281004697667e-11,0.004975124378109453,200,0.0181941451850458,0.02404240942755261,0.023773498737289518,-2.1117762190743816,0.034705647957221676
Meta Llama 3 IsoFLOPs,"A3 (this fit), design-consistent",stratified pairs,sd,-0.06321961658111647,-0.002647804170173629,-0.013039710871292798,-0.0008323916587287261,5.388236262643448,0.020272951896695205,0.04975124378109453,17.7561937585388,0.0001394092258486437,0.009950248756218905,20.22430352190117,4.0583387054302353e-05,0.014925373134328358,46.15603123870329,2.285419113051441e-09,0.004975124378109453,200,0.0181941451850458,0.02404240942755261,0.023773498737289518,-2.1117762190743816,0.034705647957221676
Meta Llama 3 IsoFLOPs,"A3 (this fit), analytic","wild, fixed design",robust,-0.06359857775779493,-0.004509874096282118,-0.012935298994981137,-0.000863898143989017,0.7606028313701603,0.3831399339467422,0.6658354114713217,1.3175810297288455,0.517476836689624,0.7830423940149626,12.871071780570828,0.0016035491456960684,0.12468827930174564,20.02438181046332,0.0004938948182383235,0.32418952618453867,400,,,,,
Meta Llama 3 IsoFLOPs,"A3 (this fit), analytic","wild, fixed design",sd,-0.06359857775779493,-0.004509874096282118,-0.012935298994981137,-0.000863898143989017,0.01995635729576569,0.8876590406725882,0.6658354114713217,0.1060649103259025,0.9483492331539302,0.7830423940149626,1.146306552156355,0.5637449894613533,0.2942643391521197,23.227285413678537,0.00011405112740204952,0.13216957605985039,400,,,,,
Meta Llama 3 IsoFLOPs,"A3 (this fit), design-consistent","wild, fixed design",robust,-0.06321961658111647,-0.002647804170173629,-0.013039710871292798,-0.0008323916587287261,0.7553118696659411,0.38479965488991186,0.6633416458852868,1.3372862475323015,0.5124033742642119,0.7805486284289277,12.526063835939295,0.0019054598318749764,0.12967581047381546,19.595035792338965,0.0006002276170835295,0.33665835411471323,400,,,,,
Meta Llama 3 IsoFLOPs,"A3 (this fit), design-consistent","wild, fixed design",sd,-0.06321961658111647,-0.002647804170173629,-0.013039710871292798,-0.0008323916587287261,0.01971890758129898,0.8883249745075471,0.6633416458852868,0.11097769047351659,0.9460225762694383,0.7755610972568578,1.111136576079519,0.5737461154775735,0.30174563591022446,22.659880729297214,0.00014805749438099228,0.14463840399002495,400,,,,,
"Marin 2026-03, Comma","A3 (this fit), analytic",stratified pairs,robust,0.060425183062521814,0.0885230985025025,-0.17845059191905194,0.014937325338275187,3.0822291239114668,0.07915197480704929,0.208955223880597,6.7174337708965774,0.03477985686695073,0.21890547263681592,64.81924438733972,8.407752536578932e-15,0.06467661691542288,70.31675642177896,1.945894512960438e-14,0.06467661691542288,200,0.0134056213817965,0.026773988026490086,0.02640246131858616,2.040645395913835,0.0412860864885554
"Marin 2026-03, Comma","A3 (this fit), analytic",stratified pairs,sd,0.060425183062521814,0.0885230985025025,-0.17845059191905194,0.014937325338275187,0.0004620313154423195,0.9828508607976141,0.208955223880597,4.824592111527284,0.08960931021376214,0.15422885572139303,75.38935720168315,4.259994972248403e-17,0.004975124378109453,86.19967418934972,8.44142107006922e-18,0.004975124378109453,200,0.0134056213817965,0.026773988026490086,0.02640246131858616,2.040645395913835,0.0412860864885554
"Marin 2026-03, Comma","A3 (this fit), design-consistent",stratified pairs,robust,0.004734722145364523,0.046773237042970095,-0.14646002026468505,0.01548164076619507,0.023521422568752986,0.878108903463477,0.8109452736318408,2.202452005125874,0.33246323296044905,0.5174129353233831,71.95582029235237,2.3713308597266195e-16,0.06467661691542288,86.38179679707784,7.722607952328812e-18,0.06467661691542288,200,0.0134056213817965,0.02433192448979326,0.02495109323239542,0.16716095117489513,0.8672434085010874
"Marin 2026-03, Comma","A3 (this fit), design-consistent",stratified pairs,sd,0.004734722145364523,0.046773237042970095,-0.14646002026468505,0.01548164076619507,2.835994622143909e-06,0.9986563301953095,0.8109452736318408,1.4410730149329978,0.4864911797812359,0.3681592039800995,78.50329685055726,8.978952690451712e-18,0.004975124378109453,112.36242651340567,2.2806700629067332e-23,0.004975124378109453,200,0.0134056213817965,0.02433192448979326,0.02495109323239542,0.16716095117489513,0.8672434085010874
"Marin 2026-03, Comma","A3 (this fit), analytic","wild, fixed design",robust,0.060425183062521814,0.0885230985025025,-0.17845059191905194,0.014937325338275187,4.635945215178135,0.0313088933739224,0.1546134663341646,16.42734078138289,0.00027092449539284195,0.10723192019950124,11.632314905920119,0.002979030243828209,0.17955112219451372,34.871678218881144,4.93598915442156e-07,0.06234413965087282,400,,,,,
"Marin 2026-03, Comma","A3 (this fit), analytic","wild, fixed design",sd,0.060425183062521814,0.0885230985025025,-0.17845059191905194,0.014937325338275187,1.0761080856417056,0.2995698381464795,0.1546134663341646,14.879737906888948,0.0005873621642912439,0.04738154613466334,12.392050562735765,0.002037513104185439,0.17955112219451372,35.81078429441977,3.1649924936483634e-07,0.007481296758104738,400,,,,,
