sample,technology,n_era1,n_era2,gmCE_era1,gmCE_era2,medM_era1,medM_era2,years_between,allocative_gain,allocative_lo,allocative_hi,physical_compute_growth,ho_algorithmic_gain,residual_technical,allocative_share_of_algorithmic,share_lo,share_hi
All language models,m2: gadre (C4),32,186,0.6616849113749383,0.5057952397504761,47.04502391817623,97.6033464004561,2.6295892252171598,0.7644049774377754,0.6493810421667964,0.900337067140417,7.100650389328672,12.409406334386635,16.234073168887488,-0.10667555331972634,-0.24641337001167832,-0.02713803963031492
All language models,m2: olmo_ladder (all),32,186,0.6807998744902639,0.794299981258875,47.04502391817623,97.6033464004561,2.6295892252171598,1.166715816235413,0.9805896519129768,1.3886084398031653,7.100650389328672,12.409406334386635,10.6361859175163,0.0612251645599064,-0.009582474449699582,0.1685390731920394
All language models,m2: datablations (single_epoch),32,186,0.7240545570264362,0.6796930654394867,47.04502391817623,97.6033464004561,2.6295892252171598,0.9387318384278469,0.792410933579328,1.107609797503497,7.100650389328672,12.409406334386635,13.219330405549519,-0.02510484747771821,-0.09631668195234676,0.04834981562414252
All language models,Ho model 7,32,186,0.018332688226114342,0.006665779395104444,47.04502391817623,97.6033464004561,2.6295892252171598,0.3636007612680201,0.23161995623040893,0.5581562533246308,7.100650389328672,12.409406334386635,34.129208891395365,-0.4017141141050922,-0.9486847717866566,-0.14411537682915598
"C >= 1e23, cleaned",Besiroglu,7,79,0.5694225705657014,0.6190786645947354,1.7166822589526618,105.52047337278107,2.1989051004475186,1.0872042953613559,0.5780120437209063,1.7369606555567711,1.1750259581570248,8.215089621821635,7.556160012310448,0.039701149138465,-0.27092267327619307,0.2723778929974719
"C >= 1e23, cleaned",Hoffmann (TeX),7,79,0.3810492151072436,0.7578344197537579,1.7166822589526618,105.52047337278107,2.1989051004475186,1.9888098169693664,1.582862411763554,2.5723306001372874,1.1750259581570248,8.215089621821635,4.130656210426465,0.32646975463323535,0.12907868347593668,0.6631789710866003
"C >= 1e23, cleaned",Hoffmann (rounded),7,79,0.3067243908721457,0.7689533174831955,1.7166822589526618,105.52047337278107,2.1989051004475186,2.506984577577087,1.9706689180983925,3.2395804932858345,1.1750259581570248,8.215089621821635,3.276880797472329,0.43641623865733287,0.17402215849766364,0.9379638761902492
"C >= 1e23, cleaned",Farseer grid,7,79,0.4429094306066327,0.7293252271849003,1.7166822589526618,105.52047337278107,2.1989051004475186,1.646668995478324,1.324725866630085,2.119848668596421,1.1750259581570248,8.215089621821635,4.988913767356941,0.23682855244691586,0.09259325286690741,0.4703169557492844
"C >= 1e23, cleaned",m1: llama_3,7,79,0.75095834275723,0.5727448755404396,1.7166822589526618,105.52047337278107,2.1989051004475186,0.7626852821656404,0.6403776026479407,0.9156288641336101,1.1750259581570248,8.215089621821635,10.771270685196567,-0.12863880525899174,-0.28649760238300853,-0.03073193227388694
"C >= 1e23, cleaned",m1: marin_202603__comma__llama_2,7,79,0.1366463279983433,0.6259232537072298,1.7166822589526618,105.52047337278107,2.1989051004475186,4.580607930531572,3.208107371308393,6.621761031341685,1.1750259581570248,8.215089621821635,1.7934496351597344,0.722626534261365,0.3193196937371354,1.434766504595961
"C >= 1e23, cleaned",m1: marin_202603__dclm__llama_2,7,79,0.19393356874297418,0.628176960137161,1.7166822589526618,105.52047337278107,2.1989051004475186,3.2391347419058856,2.3155279940802895,4.723481506575188,1.1750259581570248,8.215089621821635,2.5361987927022542,0.5580823820540796,0.23139466703286307,1.114942629916389
"C >= 1e23, cleaned",m1: marin_202603__nemotron__llama_2,7,79,0.23193482749698988,0.6342516985798805,1.7166822589526618,105.52047337278107,2.1989051004475186,2.7346117244427726,1.9879491326089564,3.840945334068326,1.1750259581570248,8.215089621821635,3.004115556293686,0.47768400747744133,0.19348345980807727,0.9693699905758819
"C >= 1e23, cleaned",m1: misfitting__fineweb_c4__transformer,7,79,0.5873333582899597,0.3389784488185872,1.7166822589526618,105.52047337278107,2.1989051004475186,0.5771482992308389,0.4420811414866285,0.8337270733481029,1.1750259581570248,8.215089621821635,14.233931959549777,-0.2609986529999974,-0.5561064428229723,-0.07750893152049852
"C >= 1e23, cleaned",m2: farseer (all),7,79,0.6276160395797805,0.6649018083802094,1.7166822589526618,105.52047337278107,2.1989051004475186,1.0594085658253627,0.8857422098037738,1.2991582796902807,1.1750259581570248,8.215089621821635,7.754411175089408,0.027403392603035533,-0.06158450320815579,0.14049007480021886
"C >= 1e23, cleaned",m2: gadre (C4),7,79,0.8661524687162108,0.531556804492124,1.7166822589526618,105.52047337278107,2.1989051004475186,0.613698885232047,0.5366889625253709,0.7154068187828848,1.1750259581570248,8.215089621821635,13.38618957848589,-0.23184103721262064,-0.4654223918780591,-0.1013710772676685
"C >= 1e23, cleaned",m2: olmo_ladder (all),7,79,0.3027306292571134,0.787230165525005,1.7166822589526618,105.52047337278107,2.1989051004475186,2.6004311736041723,2.11641345944389,3.3805178447634816,1.1750259581570248,8.215089621821635,3.1591259577293873,0.4537937671244268,0.20298543868018962,0.9314537138700019
"C >= 1e23, cleaned",m2: datablations (single_epoch),7,79,0.3917287279502707,0.7098959094987274,1.7166822589526618,105.52047337278107,2.1989051004475186,1.8122130414413913,1.4527568775078545,2.4266683841289214,1.1750259581570248,8.215089621821635,4.533180941732738,0.2823155230215617,0.10476828423470025,0.6153896033181729
"C >= 1e23, cleaned",Ho model 7,7,79,0.09845920130697194,0.009138771277294696,1.7166822589526618,105.52047337278107,2.1989051004475186,0.09281784897687947,0.06671498650224786,0.1251870757312356,1.1750259581570248,8.215089621821635,88.50764925470293,-1.1287498473431665,-2.1472730625425536,-0.5278029844302722
