mx,mz,hx,hz,loocv_rmse,conv
0.45,0.175,0.5326995110482543,0.28966446496274734,0.0010896641091659592,ne
0.45,0.2,0.5326995110482543,0.33104510281456845,0.0010732986148482317,ne
0.45,0.25,0.5326995110482543,0.4138063785182105,0.0010522288666400285,ne
0.45,0.3,0.5326995110482543,0.49656765422185256,0.0010402822510150777,ne
0.45,0.45,0.5326995110482543,0.7448514813327789,0.0010278382140938224,ne
0.45,0.6,0.5326995110482543,0.9931353084437051,0.0010395112220691045,ne
0.45,0.8,0.5326995110482543,1.3241804112582738,0.0010904003115153773,ne
0.45,1.0,0.5326995110482543,1.655225514072842,0.001160022655386394,ne
0.6,0.08,0.7102660147310057,0.13241804112582736,0.0012536211576418918,ne
0.6,0.1,0.7102660147310057,0.16552255140728422,0.001208824619537474,ne
0.6,0.125,0.7102660147310057,0.20690318925910525,0.0011747976921307334,ne
0.6,0.15,0.7102660147310057,0.24828382711092628,0.0011518554943414057,ne
0.6,0.175,0.7102660147310057,0.28966446496274734,0.0011352755649651912,ne
0.6,0.2,0.7102660147310057,0.33104510281456845,0.0011228031618354564,ne
0.6,0.25,0.7102660147310057,0.4138063785182105,0.00110621208202387,ne
0.6,0.3,0.7102660147310057,0.49656765422185256,0.0010967103608850606,ne
0.6,0.45,0.7102660147310057,0.7448514813327789,0.0010889366137142777,ne
0.6,0.6,0.7102660147310057,0.9931353084437051,0.0011040685707129267,ne
0.6,0.8,0.7102660147310057,1.3241804112582738,0.0011573217726253947,ne
0.6,1.0,0.7102660147310057,1.655225514072842,0.0012274893056072771,ne
0.8,0.08,0.9470213529746744,0.13241804112582736,0.0013010630023856207,ne
0.8,0.1,0.9470213529746744,0.16552255140728422,0.001262636764462917,ne
0.8,0.125,0.9470213529746744,0.20690318925910525,0.001233393818386897,ne
0.8,0.15,0.9470213529746744,0.24828382711092628,0.0012129873996205454,ne
0.8,0.175,0.9470213529746744,0.28966446496274734,0.0011980177142525243,ne
0.8,0.2,0.9470213529746744,0.33104510281456845,0.0011867765434953625,ne
0.8,0.25,0.9470213529746744,0.4138063785182105,0.0011719125252112824,ne
0.8,0.3,0.9470213529746744,0.49656765422185256,0.0011636615535517473,ne
0.8,0.45,0.9470213529746744,0.7448514813327789,0.001159811985484604,ne
0.8,0.6,0.9470213529746744,0.9931353084437051,0.0011793520777691581,ne
0.8,0.8,0.9470213529746744,1.3241804112582738,0.0012367078706673812,ne
0.8,1.0,0.9470213529746744,1.655225514072842,0.001308509123686223,ne
1.0,0.08,1.183776691218343,0.13241804112582736,0.0013231596913091674,ne
1.0,0.1,1.183776691218343,0.16552255140728422,0.0012911030759018523,ne
1.0,0.125,1.183776691218343,0.20690318925910525,0.0012647724415019324,ne
1.0,0.15,1.183776691218343,0.24828382711092628,0.0012453471465727927,ne
1.0,0.175,1.183776691218343,0.28966446496274734,0.0012310303065679584,ne
1.0,0.2,1.183776691218343,0.33104510281456845,0.0012204601155983237,ne
1.0,0.25,1.183776691218343,0.4138063785182105,0.0012069062242718875,ne
1.0,0.3,1.183776691218343,0.49656765422185256,0.0012000079327667257,ne
1.0,0.45,1.183776691218343,0.7448514813327789,0.0012015641069503835,ne
1.0,0.6,1.183776691218343,0.9931353084437051,0.001227254999875107,ne
1.0,0.8,1.183776691218343,1.3241804112582738,0.0012906108661859918,ne
1.0,1.0,1.183776691218343,1.655225514072842,0.001366116758308236,ne
