path,corpus,C,Mstar_point,Mstar_lo,Mstar_hi
Chinchilla,Chinchilla,3.1688001814421113e+21,20.65541380345753,12.8883799964302,33.10316110405153
Chinchilla,Chinchilla,3.482595881492157e+21,20.64896165426799,12.75648731089355,33.42453192700768
Chinchilla,Chinchilla,3.82746572182614e+21,20.64251152054178,12.625013355401176,33.751511375106965
Chinchilla,Chinchilla,4.206486870787132e+21,20.636063401649334,12.494028445022765,34.08405180048517
Chinchilla,Chinchilla,4.6230412184232956e+21,20.629617296961282,12.363596366808538,34.4221128863123
Chinchilla,Chinchilla,5.080845552060751e+21,20.62317320584843,12.233774925448113,34.76566110381058
Chinchilla,Chinchilla,5.583984720062655e+21,20.616731127681803,12.1046164437381,35.11466921457129
Chinchilla,Chinchilla,6.136948079684588e+21,20.610291061832616,11.97616822110812,35.469115814920755
Chinchilla,Chinchilla,6.744669554239401e+21,20.603853007672278,11.848472953381021,35.82898491916019
Chinchilla,Chinchilla,7.412571656989091e+21,20.597416964572407,11.721569116821643,36.19426557862533
Chinchilla,Chinchilla,8.146613874576143e+21,20.59098293190479,11.59549131937538,36.56495153366503
Chinchilla,Chinchilla,8.953345841704042e+21,20.58455090904143,11.47027062182754,36.941040895808186
Chinchilla,Chinchilla,9.839965781529052e+21,20.578120895354527,11.345934831433727,37.32253585756902
Chinchilla,Chinchilla,1.0814384733208795e+22,20.571692890216475,11.222508770389837,37.7094424275226
Chinchilla,Chinchilla,1.1885297139690485e+22,20.565266892999865,11.100014521330033,38.10177018846275
Chinchilla,Chinchilla,1.3062258425572094e+22,20.558842903077466,10.978471651867396,38.49953207662787
Chinchilla,Chinchilla,1.435577025724007e+22,20.552420919822264,10.857897420026065,38.90274418014661
Chinchilla,Chinchilla,1.5777374246033762e+22,20.546000942607442,10.738306962257024,39.31142555501124
Chinchilla,Chinchilla,1.7339754930521411e+22,20.539582970806364,10.619713465583512,39.72559805703368
Chinchilla,Chinchilla,1.9056852956766462e+22,20.5331670037926,10.502128325285957,40.145286188374335
Chinchilla,Chinchilla,2.0943989466458862e+22,20.526753040939923,10.385561289410434,40.570516957360844
Chinchilla,Chinchilla,2.301800280278646e+22,20.52034108162227,10.270020591269473,41.00131975042755
Chinchilla,Chinchilla,2.5297398753832875e+22,20.51393112521381,10.155513070997529,41.43772621511485
Chinchilla,Chinchilla,2.780251567407727e+22,20.507523171088884,10.042044287126716,41.8797701531627
Chinchilla,Chinchilla,3.0555705957324807e+22,20.501117218622046,9.929618619060019,42.32748742282191
Chinchilla,Chinchilla,3.3581535480295394e+22,20.494713267188036,9.818239361238629,42.78091584958708
Chinchilla,Chinchilla,3.690700279644502e+22,20.48831131616178,9.70790880972681,43.240095144628334
Chinchilla,Chinchilla,4.0561780035819214e+22,20.481911364918417,9.598628341871475,43.70506683026559
Chinchilla,Chinchilla,4.457847766041458e+22,20.475513412833266,9.490398489633122,44.175874171888665
Chinchilla,Chinchilla,4.899293543737954e+22,20.469117459281858,9.383219007130322,44.652562115782466
Chinchilla,Chinchilla,5.384454222632004e+22,20.46272350363991,9.277088932890413,45.135177232364626
Chinchilla,Chinchilla,5.917658743407212e+22,20.45633154528332,9.17200664725419,45.62376766438865
Chinchilla,Chinchilla,6.503664727287097e+22,20.449941583588203,9.067969925341776,46.11838307970654
Chinchilla,Chinchilla,7.14770092683726e+22,20.443553617930856,8.964975985950185,46.619074628220226
Chinchilla,Chinchilla,7.855513880528936e+22,20.43716764768778,8.8630215367197,47.12589490268611
Chinchilla,Chinchilla,8.633419187348125e+22,20.430783672235673,8.762102815876162,47.638897903066024
Chinchilla,Chinchilla,9.488357858958048e+22,20.424401690951402,8.662215630828834,48.15813900414569
Chinchilla,Chinchilla,1.0427958252228062e+23,20.41802170321206,8.56335539387895,48.68367492616666
Chinchilla,Chinchilla,1.1460604134734092e+23,20.411643708394912,8.465517155271487,49.215563708239436
Chinchilla,Chinchilla,1.2595509490558286e+23,20.40526770587744,8.368695633802476,49.75386468432678
Chinchilla,Chinchilla,1.3842800733857293e+23,20.398893695037305,8.272885245175777,50.29863846160377
Chinchilla,Chinchilla,1.5213607063765157e+23,20.392521675252354,8.178080128286421,50.84994690101826
Chinchilla,Chinchilla,1.6720159766841528e+23,20.386151645900647,8.08427416959252,51.40785309989125
Chinchilla,Chinchilla,1.8375901353108697e+23,20.379783606360427,7.991461025724036,51.97242137640874
Chinchilla,Chinchilla,2.0195605499466425e+23,20.37341755601014,7.8996341444639935,52.543717255871215
Chinchilla,Chinchilla,2.2195508870702516e+23,20.36705349422842,7.808786784226584,53.12180745857659
Chinchilla,Chinchilla,2.4393455994297862e+23,20.3606914203941,7.718912032146005,53.70675988922431
Chinchilla,Chinchilla,2.6809058481699614e+23,20.354331333886194,7.630002820880657,54.29864362773628
Chinchilla,Chinchilla,2.9463870016745353e+23,20.347973234083923,7.542051944228695,54.8975289214
