uid,model,dev,year,gen,N,D,M,Cmp,set,dlo,dhi,Mstar_hi_eff,Mstar_lo_eff,binding_upper,binding_lower,tau_break,sign_tau1
B:HuggingFaceTB/SmolLM2-360M,SmolLM2-360M,Hugging Face,2024,SmolLM2,361821120.0,4000000000000.0,11055.186607127853,8.68370688e+21,S2(b'),4.036088388821646,7.490184846460524,195.30580954460197,6.1747606867045,"Marin, Comma","Marin, Nemotron-CC",56.60449442290236,w>1
B:HuggingFaceTB/SmolLM2-1.7B,SmolLM2-1.7B,Hugging Face,2024,SmolLM2,1711376384.0,11000000000000.0,6427.574964128989,1.12950841344e+23,S2(b'),2.3162570891459504,7.348101129838103,634.0295187884861,4.138160942120207,"Marin, Comma","Marin, Nemotron-CC",10.137658852873134,w>1
B:HuggingFaceTB/SmolLM3-3B-Base,SmolLM3-3B-Base,Hugging Face,2025,SmolLM3,3075098624.0,11200000000000.0,3642.1596083417194,2.066466275328e+23,S2(b'),1.4709829934108374,6.8743135860176565,836.6025359681435,3.7660190840307144,"Marin, Comma","Marin, Nemotron-CC",4.353512512518139,w>1
B:tiiuae/Falcon3-7B-Base,Falcon3-7B-Base,TII,2024,Falcon3,7455550464.0,14000000000000.0,1877.7956191968176,6.26266238976e+23,S2(b'),0.2995976389844941,6.384802723586754,1391.6650485432147,3.1678435912689,"Marin, Comma","Marin, Nemotron-CC",1.3493157862680256,w>1
B:tiiuae/falcon-11B,falcon-11B,TII,2024,Falcon2,11102822400.0,5500000000000.0,495.3695377492483,3.663931392e+23,S2(b'),-0.7869044741686855,4.968626210389313,1088.1219408490679,3.4441523245950156,"Marin, Comma","Marin, Nemotron-CC",1.0,not identified
B:ibm-granite/granite-3.0-2b-base,granite-3.0-2b-base,IBM,2024,Granite-3.0,2533525504.0,12000000000000.0,4736.482810634458,1.82413836288e+23,S2(b'),1.7909513237451193,7.117573381340902,790.0520208226653,3.8400167740794022,"Marin, Comma","Marin, Nemotron-CC",5.995153085872058,w>1
B:ibm-granite/granite-3.0-8b-base,granite-3.0-8b-base,IBM,2024,Granite-3.0,8170835968.0,12000000000000.0,1468.6379762115425,5.88300189696e+23,S2(b'),0.08253865489489165,6.1292836370113495,1352.286373068537,3.198900210316958,"Marin, Comma","Marin, Nemotron-CC",1.0860406534149913,w>1
B:swiss-ai/Apertus-8B-2509,Apertus-8B-2509,Swiss AI,2025,Apertus,8053338176.0,15000000000000.0,1862.5816614409612,7.2480043584e+23,S2(b'),0.2243953090827402,6.399462533735427,1488.2012952042678,3.0964498966514054,"Marin, Comma","Marin, Nemotron-CC",1.2515656769303554,w>1
B:swiss-ai/Apertus-70B-2509,Apertus-70B-2509,Swiss AI,2025,Apertus,70599864480.0,15000000000000.0,212.46499707162045,6.3539878032e+24,S2(b'),-2.942976666994311,4.5671878746271775,4030.936145478621,2.206901246092408,"Marin, Comma","Marin, Nemotron-CC",1.0,not identified
B:marin-community/marin-8b-base,marin-8b-base,Marin,2025,Marin,8030261248.0,12700000000000.0,1581.5176627239912,6.119059070976e+23,S2(b'),0.13853113591336275,6.209470368611999,1376.9264376371004,3.1793279640790977,"Marin, Comma","Marin, Nemotron-CC",1.1485854432702907,w>1
B:m-a-p/neo_7b,neo_7b,M-A-P,2024,MAP-Neo,7793716224.0,4420000000000.0,567.1235483772215,2.0668935426048e+23,S2(b'),-0.388866802973336,5.014590932269483,836.681925831654,3.7658976259180976,"Marin, Comma","Marin, Nemotron-CC",1.0,not identified
B:stabilityai/stablelm-3b-4e1t,stablelm-3b-4e1t,Stability AI,2023,StableLM-3B-4E1T,2795443200.0,4000000000000.0,1430.9001163035614,6.70906368e+22,S2(b'),1.0530527139270234,5.764545825970453,499.1997235483338,4.488475676918666,"Marin, Comma","Marin, Nemotron-CC",2.8663880383039073,w>1
B:meta-llama/Llama-2-7b-hf,Llama-2-7b-hf,Meta,2023,Llama-2,6738417664.0,2000000000000.0,296.80558548411165,8.0861011968e+22,S2(c),0.5381552867146757,4.413733894786802,173.28229773668468,3.59427907409689,DeepSeek LLM published law,"Marin, Nemotron-CC",1.7128442394913863,w>1
B:meta-llama/Llama-2-13b-hf,Llama-2-13b-hf,Meta,2023,Llama-2,13015866880.0,2000000000000.0,153.6586090222828,1.5619040256e+23,S2(c),-0.33210769528115325,3.8702782948997037,214.18518951543683,3.204176202366424,DeepSeek LLM published law,"Marin, Nemotron-CC",1.0,not identified
B:meta-llama/Llama-2-70b-hf,Llama-2-70b-hf,Meta,2023,Llama-2,68976653312.0,2000000000000.0,28.99531803831451,8.27719839744e+23,S2(c),-2.5463407501644606,2.4936940650611845,369.98968251774573,2.395136696307565,DeepSeek LLM published law,"Marin, Nemotron-CC",1.0,not identified
B:huggyllama/llama-7b,llama-7b,Meta,2023,Llama,6738417664.0,1000000000000.0,148.40279274205582,4.0430505984e+22,S2(c),0.08954557085162929,3.599624758045736,135.69158847286687,4.0564385796762155,DeepSeek LLM published law,"Marin, Nemotron-CC",1.0936771719768814,w>1
B:huggyllama/llama-13b,llama-13b,Meta,2023,Llama,13015866880.0,1000000000000.0,76.8293045111414,7.809520128e+22,S2(c),-0.7807174111441997,3.056169158158637,167.72127893222674,3.6161755098622668,DeepSeek LLM published law,"Marin, Nemotron-CC",1.0,not identified
B:huggyllama/llama-30b,llama-30b,Meta,2023,Llama,32528947456.0,1400000000000.0,43.03858899503889,2.732431586304e+23,S2(c),-1.7819978006770247,2.6952438404764,255.72302685334972,2.906220068434546,DeepSeek LLM published law,"Marin, Nemotron-CC",1.0,not identified
B:huggyllama/llama-65b,llama-65b,Meta,2023,Llama,65285665792.0,1400000000000.0,21.444217241505925,5.483995926528e+23,S2(c),-2.7077953430724526,2.12017358675645,321.5812906037985,2.5735375468404302,DeepSeek LLM published law,"Marin, Nemotron-CC",1.0,not identified
B:meta-llama/Meta-Llama-3-70B,Meta-Llama-3-70B,Meta,2024,Llama-3 herd,70553706496.0,15000000000000.0,212.60399694026586,6.34983358464e+24,S2(c),-1.2422812921980455,4.8415591561692395,736.355161125037,1.678452284964041,DeepSeek LLM published law,"Marin, Nemotron-CC",1.0,not identified
B:meta-llama/Meta-Llama-3-8B,Meta-Llama-3-8B,Meta,2024,Llama-3 herd,8030261248.0,15000000000000.0,1867.9342473118006,7.2272351232e+23,S2(c),1.7549107405021536,6.635476015198899,323.00818974704697,2.4525110142049464,DeepSeek LLM published law,"Marin, Nemotron-CC",5.782931537353931,w>1
B:meta-llama/Llama-3.1-405B,Llama-3.1-405B,Meta,2024,Llama-3 herd,405853388800.0,15600000000000.0,38.437525546170825,3.798787719168e+25,S2(c),-3.5642382698347617,3.44333447607511,1357.3268323396246,1.2283843067039317,DeepSeek LLM published law,"Marin, Nemotron-CC",1.0,not identified
B:Qwen/Qwen-72B,Qwen-72B,Alibaba,2023,Qwen,72287920128.0,3000000000000.0,41.50070986532617,1.301182562304e+24,S2(c),-2.308331056566608,2.9312110825965254,417.39857842252377,2.2133328350283583,DeepSeek LLM published law,"Marin, Nemotron-CC",1.0,not identified
B:Qwen/Qwen-14B,Qwen-14B,Alibaba,2023,Qwen,14167290880.0,3000000000000.0,211.75537549208562,2.5501123584e+23,S2(c),-0.06231983464085111,4.276527646220905,225.37181600526893,2.9414541650150876,DeepSeek LLM published law,"Marin, Nemotron-CC",1.0,not identified
B:Qwen/Qwen-7B,Qwen-7B,Alibaba,2023,Qwen,7721324544.0,2400000000000.0,310.8274993912754,1.111870734336e+23,S2(c),0.656084990084711,4.515473400209359,161.28179328093756,3.3999634914307233,DeepSeek LLM published law,"Marin, Nemotron-CC",1.927232411471538,w>1
B:Qwen/Qwen2-72B,Qwen2-72B,Alibaba,2024,Qwen2,72706203648.0,7000000000000.0,96.27789168981808,3.053660553216e+24,S2(c),-1.7674611677682348,3.921609117261828,563.8001714331252,1.9071874121940307,DeepSeek LLM published law,"Marin, Nemotron-CC",1.0,not identified
B:Qwen/Qwen2-7B,Qwen2-7B,Alibaba,2024,Qwen2,7615616512.0,7000000000000.0,919.1639296661056,3.19855893504e+23,S2(c),1.3685366332527042,5.7840981881789135,233.90799435081053,2.827424697807662,"Marin, Nemotron-CC","Marin, Nemotron-CC",3.929596045732246,w>1
B:Qwen/Qwen2-1.5B,Qwen2-1.5B,Alibaba,2024,Qwen2,1543714304.0,7000000000000.0,4534.517806735306,6.4836000768e+22,S2(c),3.39590337110851,7.101586169473059,151.95290825271783,3.735523092629208,DeepSeek LLM published law,"Marin, Nemotron-CC",29.841599340723388,w>1
B:Qwen/Qwen2-0.5B,Qwen2-0.5B,Alibaba,2024,Qwen2,494032768.0,12000000000000.0,24289.886779332013,3.5570359296e+22,S2(c),5.2810710200378335,8.675159984434433,123.56215894470954,4.14812065039426,DeepSeek LLM published law,"Marin, Nemotron-CC",196.58030408970944,w>1
B:01-ai/Yi-6B,Yi-6B,01.AI,2023,Yi,6061035520.0,3000000000000.0,494.9649263893441,1.0909863936e+23,S2(c),0.9803504225738617,4.977413179894434,185.70074527997335,3.411232709592244,DeepSeek LLM published law,"Marin, Nemotron-CC",2.6653900911550243,w>1
B:01-ai/Yi-34B,Yi-34B,01.AI,2023,Yi,34388917248.0,3000000000000.0,87.23740786501426,6.19000510464e+23,S2(c),-1.3493147373906673,3.5444854367099525,336.2812843656013,2.51972001827843,DeepSeek LLM published law,"Marin, Nemotron-CC",1.0,not identified
B:google/gemma-7b,gemma-7b,Google,2024,Gemma,8537680896.0,6000000000000.0,702.7669542921273,3.07356512256e+23,S2(c),1.095894671236997,5.5087026358773405,234.89313449757984,2.84716197317166,DeepSeek LLM published law,"Marin, Nemotron-CC",2.991858215844823,w>1
B:google/gemma-2b,gemma-2b,Google,2024,Gemma,2506172416.0,3000000000000.0,1197.044537258206,4.5111103488e+22,S2(c),2.3237135552507286,5.706422144853544,117.2018142550984,3.979629670732835,"Marin, Nemotron-CC","Marin, Nemotron-CC",10.21353248553602,w>1
B:google/gemma-2-27b,gemma-2-27b,Google,2024,Gemma-2,27227128320.0,13000000000000.0,477.464969761453,2.12371600896e+24,S2(c),-0.01296588893633377,5.459483320698641,483.69603589205246,2.031973472532404,DeepSeek LLM published law,"Marin, Nemotron-CC",1.0,not identified
B:tiiuae/falcon-180B,falcon-180B,TII,2023,Falcon,179522565120.0,3500000000000.0,19.49615636151623,3.76997386752e+24,S2(c),-3.4508111487782775,2.3613619664514625,614.6349321260757,1.838325991019634,DeepSeek LLM published law,"Marin, Nemotron-CC",1.0,not identified
B:tiiuae/falcon-40b,falcon-40b,TII,2023,Falcon,41835970560.0,1000000000000.0,23.902875602367764,2.5101582336e+23,S2(c),-2.3352216934727688,2.092338880611983,246.95853875913969,2.949571451669857,DeepSeek LLM published law,"Marin, Nemotron-CC",1.0,not identified
B:tiiuae/falcon-7b,falcon-7b,TII,2023,Falcon,7217189760.0,1500000000000.0,207.83712911547445,6.495470784e+22,S2(c),0.2546912999818227,4.0191860968391895,161.10614603508623,3.7343308392641403,DeepSeek LLM published law,"Marin, Nemotron-CC",1.2900633168284654,w>1
B:microsoft/phi-2,phi-2,Microsoft,2023,Phi-2,2779683840.0,1400000000000.0,503.65440121420426,2.3349344256e+22,S2(c),1.4733644926781322,4.725775533291866,115.41401897814409,4.464310538318607,DeepSeek LLM published law,"Marin, Nemotron-CC",4.363892754740489,w>1
B:microsoft/phi-1_5,phi-1_5,Microsoft,2023,Phi-1.5,1418270720.0,150000000000.0,105.76260081009076,1.276443648e+21,S2(c),0.9511928730003145,2.6578668903026044,40.85397380014242,7.413703241262954,DeepSeek LLM published law,"Marin, Nemotron-CC",2.5887959229494113,w>1
B:mosaicml/mpt-30b,mpt-30b,MosaicML,2023,MPT,30000000000.0,1050000000000.0,35.0,1.89e+23,S2(c),-1.8517482523834796,2.424167305928945,222.98317359289675,3.099313872557032,DeepSeek LLM published law,"Marin, Nemotron-CC",1.0,not identified
B:mosaicml/mpt-7b,mpt-7b,MosaicML,2023,MPT,7000000000.0,1000000000000.0,142.85714285714286,4.2e+22,S2(c),0.03387937223554083,3.5681860014255697,138.0983010042718,4.0295678159226656,DeepSeek LLM published law,"Marin, Nemotron-CC",1.0344598146267119,w>1
B:deepseek-ai/deepseek-llm-67b-base,deepseek-llm-67b-base,DeepSeek,2024,DeepSeek-LLM,67000000000.0,2000000000000.0,29.850746268656717,8.04e+23,S2(c),-2.506857197401478,2.5176955396111254,366.1587701464966,2.4073204935009653,DeepSeek LLM published law,"Marin, Nemotron-CC",1.0,not identified
B:deepseek-ai/deepseek-llm-7b-base,deepseek-llm-7b-base,DeepSeek,2024,DeepSeek-LLM,7000000000.0,2000000000000.0,285.7142857142857,8.4e+22,S2(c),0.6084392746345841,4.382295138166636,155.48558647626197,3.5704697591110075,DeepSeek LLM published law,"Marin, Nemotron-CC",1.837561231168561,w>1
B:stabilityai/stablelm-base-alpha-3b,stablelm-base-alpha-3b,Stability AI,2023,StableLM-alpha,3638525952.0,800000000000.0,219.8692576482137,1.74649245696e+22,S2(c),0.8881411235247176,3.846244719700449,90.45857062608884,4.696362939935207,DeepSeek LLM published law,"Marin, Nemotron-CC",2.430607250661133,w>1
B:stabilityai/stablelm-base-alpha-7b-v2,stablelm-base-alpha-7b-v2,Stability AI,2023,StableLM-alpha-v2,6889414656.0,1100000000000.0,159.66523353939925,4.54701367296e+22,S2(c),0.15123062061576142,3.693273979040876,137.25612587214766,3.97412800375554,DeepSeek LLM published law,"Marin, Nemotron-CC",1.1632649000171067,w>1
B:stabilityai/stablelm-2-1_6b,stablelm-2-1_6b,Stability AI,2024,StableLM-2,1644515328.0,2000000000000.0,1216.1637936402378,1.9734183936e+22,S2(c),2.606870568500292,5.577986291236168,89.71035328772481,4.5973059134615655,DeepSeek LLM published law,"Marin, Nemotron-CC",13.556560074394971,w>1
B:stabilityai/stablelm-base-alpha-7b,stablelm-base-alpha-7b,Stability AI,2023,StableLM-alpha,7869358080.0,800000000000.0,101.6601343930711,3.7772918784e+22,S2(c),-0.1424515363129757,3.2094644433487085,117.22401594022398,4.104856523523353,DeepSeek LLM published law,"Marin, Nemotron-CC",1.0,not identified
B:HuggingFaceTB/SmolLM-135M,SmolLM-135M,Hugging Face,2024,SmolLM,134515008.0,600000000000.0,4460.468827389134,4.842540288e+20,S2(c),4.381212092873172,6.530703873918152,55.8012943226736,6.50327101773718,DeepSeek LLM published law,Chinchilla,79.93486318787275,w>1
B:HuggingFaceTB/SmolLM-360M,SmolLM-360M,Hugging Face,2024,SmolLM,361821120.0,600000000000.0,1658.2779910691781,1.302556032e+21,S2(c),3.2629299018117393,5.413738885538699,63.47239495983731,7.387549643259703,DeepSeek LLM published law,"Marin, Nemotron-CC",26.125971646705114,w>1
B:HuggingFaceTB/SmolLM-1.7B,SmolLM-1.7B,Hugging Face,2024,SmolLM,1711376384.0,1000000000000.0,584.3249967389991,1.0268258304e+22,S2(c),1.8775882457719675,4.730979575385446,89.37750991029664,5.152477948049521,DeepSeek LLM published law,"Marin, Nemotron-CC",6.53771846324041,w>1
B:cerebras/btlm-3b-8k-base,btlm-3b-8k-base,Cerebras,2023,BTLM,3000000000.0,627000000000.0,209.0,1.1286e+22,S2(c),0.8111314843235062,3.7193487851738047,92.87019519932926,5.0681986914499095,DeepSeek LLM published law,"Marin, Nemotron-CC",2.2504528988166643,w>1
B:h2oai/h2o-danube-1.8b-base,h2o-danube-1.8b-base,H2O.ai,2024,H2O-Danube1,1831201280.0,1000000000000.0,546.0896139172642,1.098720768e+22,S2(c),1.7758157798085126,4.675115250033503,92.47767929885727,5.091985536715471,DeepSeek LLM published law,"Marin, Nemotron-CC",5.905096430377358,w>1
B:h2oai/h2o-danube3-500m-base,h2o-danube3-500m-base,H2O.ai,2024,H2O-Danube3,513590784.0,4000000000000.0,7788.301746473706,1.2326178816e+22,S2(c),4.375596236769006,7.352777961033132,97.98181243269688,4.990819624896182,DeepSeek LLM published law,"Marin, Nemotron-CC",79.48721862869645,w>1
B:h2oai/h2o-danube3-4b-base,h2o-danube3-4b-base,H2O.ai,2024,H2O-Danube3,3961839360.0,6000000000000.0,1514.4480769659474,1.4262621696e+23,S2(c),1.957947500391466,6.14249725015289,213.7610592251645,3.2553802717070384,DeepSeek LLM published law,"Marin, Nemotron-CC",7.084770642770387,w>1
B:allenai/OLMo-1B-hf,OLMo-1B-hf,AI2,2024,OLMo-1,1176764416.0,3000000000000.0,2549.3632873412785,2.1181759488e+22,S2(c),3.137195606648139,6.330481763827251,110.65345704664345,4.540863317015504,DeepSeek LLM published law,"Marin, Nemotron-CC",23.03916529482357,w>1
B:allenai/OLMo-7B-hf,OLMo-7B-hf,AI2,2024,OLMo-1,6888095744.0,2500000000000.0,362.94501309417336,1.0332143616e+23,S2(c),0.6826234299207767,4.657682891180923,183.39236227680627,3.4437756856885,DeepSeek LLM published law,"Marin, Nemotron-CC",1.9790628605697131,w>1
B:allenai/OLMo-7B-0424-hf,OLMo-7B-0424-hf,AI2,2024,OLMo-1.7,6888095744.0,2050000000000.0,297.6149107372222,8.47235776512e+22,S2(c),0.5541845907672558,4.4246000381576955,170.99183626458375,3.5651294580654773,DeepSeek LLM published law,"Marin, Nemotron-CC",1.7405211689563271,w>1
B:TinyLlama/TinyLlama_v1.1,TinyLlama_v1.1,TinyLlama,2024,TinyLlama,1100000000.0,2000000000000.0,1818.1818181818182,1.32e+22,S2(c),2.878965582895078,5.909944659565426,102.16883570176815,4.931521791165159,DeepSeek LLM published law,"Marin, Nemotron-CC",17.795855318241163,w>1
B:Qwen/Qwen2.5-0.5B,Qwen2.5-0.5B,Alibaba,2024,Qwen2.5,494032768.0,18000000000000.0,36434.83016899802,5.3355538944e+22,S2(c),5.543490881276888,9.151383300922431,142.56379555216918,3.8647506611499587,DeepSeek LLM published law,"Marin, Nemotron-CC",255.56860371092756,w>1
B:Qwen/Qwen2.5-1.5B,Qwen2.5-1.5B,Alibaba,2024,Qwen2.5,1543714304.0,18000000000000.0,11660.188645890788,1.66721144832e+23,S2(c),4.007165547264771,8.210866920550153,212.03897272850358,3.16789939910933,DeepSeek LLM published law,"Marin, Nemotron-CC",54.990780684551744,w>1
B:Qwen/Qwen2.5-3B,Qwen2.5-3B,Alibaba,2024,Qwen2.5,3085938688.0,18000000000000.0,5832.9091468974775,3.33281378304e+23,S2(c),3.047917834197997,7.639080153679677,276.81608060483256,2.807209690353712,DeepSeek LLM published law,"Marin, Nemotron-CC",21.071424514619213,w>1
B:Qwen/Qwen2.5-7B,Qwen2.5-7B,Alibaba,2024,Qwen2.5,7615616512.0,18000000000000.0,2363.564390569986,8.22486583296e+23,S2(c),1.9797988094089662,6.893378939256006,326.40119498498194,2.397789219637108,"Marin, Nemotron-CC","Marin, Nemotron-CC",7.241285959993914,w>1
B:Qwen/Qwen2.5-14B,Qwen2.5-14B,Alibaba,2024,Qwen2.5,14770033664.0,18000000000000.0,1218.6837491015756,1.595163635712e+24,S2(c),1.0112766096811718,6.346575636106109,443.3014671883626,2.1360343982478054,DeepSeek LLM published law,"Marin, Nemotron-CC",2.7491083141029766,w>1
B:Qwen/Qwen2.5-32B,Qwen2.5-32B,Alibaba,2024,Qwen2.5,32763876352.0,18000000000000.0,549.3855429869253,3.538498646016e+24,S2(c),-0.0711431579928794,5.688887091102675,589.8944467748453,1.8587670062189956,DeepSeek LLM published law,"Marin, Nemotron-CC",1.0,not identified
B:Qwen/Qwen2.5-72B,Qwen2.5-72B,Alibaba,2024,Qwen2.5,72706203648.0,18000000000000.0,247.57172148810363,7.852269993984e+24,S2(c),-1.1561989916119693,5.03088986833892,786.7411723111612,1.617384689442762,DeepSeek LLM published law,"Marin, Nemotron-CC",1.0,not identified
B:Qwen/Qwen3-0.6B-Base,Qwen3-0.6B-Base,Alibaba,2025,Qwen3,596049920.0,36000000000000.0,60397.62575590984,1.2874678272e+23,S2(c),5.6745693349524355,9.810529557202248,207.29351577381954,3.314064949292261,DeepSeek LLM published law,"Marin, Nemotron-CC",291.36283173377416,w>1
B:Qwen/Qwen3-1.7B-Base,Qwen3-1.7B-Base,Alibaba,2025,Qwen3,1720574976.0,36000000000000.0,20923.23816291514,3.71644194816e+23,S2(c),4.2901781333294995,8.935437661886505,286.70034056650996,2.7543405033275095,DeepSeek LLM published law,"Marin, Nemotron-CC",72.97946741734434,w>1
B:Qwen/Qwen3-4B-Base,Qwen3-4B-Base,Alibaba,2025,Qwen3,4022468096.0,36000000000000.0,8949.729156534248,8.68853108736e+23,S2(c),3.1428025171726066,8.23440192219652,386.2852289918404,2.3749505750735915,DeepSeek LLM published law,"Marin, Nemotron-CC",23.16870665723357,w>1
B:Qwen/Qwen3-8B-Base,Qwen3-8B-Base,Alibaba,2025,Qwen3,8190735360.0,36000000000000.0,4395.209760506778,1.76919883776e+24,S2(c),2.3047087352574174,7.647390232128657,438.58858111735543,2.097781387108976,DeepSeek LLM published law,"Marin, Nemotron-CC",10.021258987886712,w>1
B:Qwen/Qwen3-14B-Base,Qwen3-14B-Base,Alibaba,2025,Qwen3,14768307200.0,36000000000000.0,2437.6524345322396,3.1899543552e+24,S2(c),1.490069464943221,7.160781269578599,549.3420411135916,1.8927096291722565,DeepSeek LLM published law,"Marin, Nemotron-CC",4.437403752297538,w>1
B:allenai/OLMo-2-0425-1B,OLMo-2-0425-1B,AI2,2025,OLMo-2,1484916736.0,4050000000000.0,2727.4256541209866,3.60834766848e+22,S2(c),3.2259924348345086,6.490957496237358,108.32338131065427,4.137765729172218,"Marin, Nemotron-CC","Marin, Nemotron-CC",25.17854983033776,w>1
B:allenai/OLMo-2-1124-7B,OLMo-2-1124-7B,AI2,2024,OLMo-2,7298617344.0,4050000000000.0,554.8996212727055,1.773564014592e+23,S2(c),0.9947583420807602,5.176510054655428,205.20898373768694,3.1338966932408385,DeepSeek LLM published law,"Marin, Nemotron-CC",2.70407080219265,w>1
B:allenai/OLMo-2-1124-13B,OLMo-2-1124-13B,AI2,2024,OLMo-2,13716198400.0,5150000000000.0,375.46846799766325,4.2383053056e+23,S2(c),0.28001442669591725,4.937926668877665,283.76886966519936,2.6919015113286835,DeepSeek LLM published law,"Marin, Nemotron-CC",1.3231489008665904,w>1
B:allenai/OLMo-2-0325-32B,OLMo-2-0325-32B,AI2,2025,OLMo-2,32234279936.0,6150000000000.0,190.79067415839916,1.1894449296384e+24,S2(c),-0.7661888871429481,4.4410086337530466,410.4958287228076,2.2482862211226413,DeepSeek LLM published law,"Marin, Nemotron-CC",1.0,not identified
B:allenai/Olmo-3-1025-7B,Olmo-3-1025-7B,AI2,2025,Olmo-3,7298011136.0,6030000000000.0,826.2525073790187,2.6404204290048e+23,S2(c),1.2523662331058727,5.644069471763438,236.1658217210291,2.9236444987676067,DeepSeek LLM published law,"Marin, Nemotron-CC",3.4986117015485396,w>1
B:allenai/Olmo-3-1125-32B,Olmo-3-1125-32B,AI2,2025,Olmo-3,32233522176.0,5600000000000.0,173.73217762002974,1.0830463451136e+24,S2(c),-0.8268227893950924,4.330993387815399,397.1593929670967,2.2853553272408638,DeepSeek LLM published law,"Marin, Nemotron-CC",1.0,not identified
B:HuggingFaceTB/SmolLM2-135M,SmolLM2-135M,Hugging Face,2024,SmolLM2,134515008.0,2000000000000.0,14868.229424630446,1.614180096e+21,S2(c),5.160431734535961,7.644618276672222,85.33205946267367,7.116127488468949,DeepSeek LLM published law,"Marin, Nemotron-CC",174.2396646495351,w>1
B:HuggingFaceTB/SmolLM2-360M,SmolLM2-360M,Hugging Face,2024,SmolLM2,361821120.0,4000000000000.0,11055.186607127853,8.68370688e+21,S2(c),4.490759259337574,7.6419275826953506,123.95216359281129,5.305411780917391,DeepSeek LLM published law,"Marin, Nemotron-CC",89.18913786325395,w>1
B:HuggingFaceTB/SmolLM2-1.7B,SmolLM2-1.7B,Hugging Face,2024,SmolLM2,1711376384.0,11000000000000.0,6427.574964128989,1.12950841344e+23,S2(c),3.429522881256486,7.547334464049008,208.26883493987717,3.3906381145315954,DeepSeek LLM published law,"Marin, Nemotron-CC",30.861914438540435,w>1
B:HuggingFaceTB/SmolLM3-3B-Base,SmolLM3-3B-Base,Hugging Face,2025,SmolLM3,3075098624.0,11200000000000.0,3642.1596083417194,2.066466275328e+23,S2(c),2.725851676063499,7.0847287586163965,238.52649817834336,3.0514086152743145,DeepSeek LLM published law,"Marin, Nemotron-CC",15.269412984122715,w>1
B:tiiuae/Falcon3-7B-Base,Falcon3-7B-Base,TII,2024,Falcon3,7455550464.0,14000000000000.0,1877.7956191968176,6.26266238976e+23,S2(c),1.8329843260139649,6.615742489420383,300.3262845696019,2.514593940525134,DeepSeek LLM published law,"Marin, Nemotron-CC",6.252518396409723,w>1
B:tiiuae/falcon-11B,falcon-11B,TII,2024,Falcon2,11102822400.0,5500000000000.0,495.3695377492483,3.663931392e+23,S2(c),0.501823517637292,5.189642694093612,299.90942347417956,2.7611888530923787,DeepSeek LLM published law,"Marin, Nemotron-CC",1.6517304858608308,w>1
B:ibm-granite/granite-3.0-2b-base,granite-3.0-2b-base,IBM,2024,Granite-3.0,2533525504.0,12000000000000.0,4736.482810634458,1.82413836288e+23,S2(c),2.900256887472773,7.325679607795993,260.54959545809766,3.1185573541108287,DeepSeek LLM published law,"Marin, Nemotron-CC",18.178814679434772,w>1
B:ibm-granite/granite-3.0-8b-base,granite-3.0-8b-base,IBM,2024,Granite-3.0,8170835968.0,12000000000000.0,1468.6379762115425,5.88300189696e+23,S2(c),1.4140859870749667,6.359065744113703,357.09602256833614,2.5421875724245844,DeepSeek LLM published law,"Marin, Nemotron-CC",4.112725663110669,w>1
B:swiss-ai/Apertus-8B-2509,Apertus-8B-2509,Swiss AI,2025,Apertus,8053338176.0,15000000000000.0,1862.5816614409612,7.2480043584e+23,S2(c),1.7549093536654938,6.633107172523543,322.08305294783696,2.4512831492366978,DeepSeek LLM published law,"Marin, Nemotron-CC",5.782923517378035,w>1
B:swiss-ai/Apertus-70B-2509,Apertus-70B-2509,Swiss AI,2025,Apertus,70599864480.0,15000000000000.0,212.46499707162045,6.3539878032e+24,S2(c),-1.2422816704321145,4.841019277521378,735.8740126164096,1.6782607303882613,DeepSeek LLM published law,"Marin, Nemotron-CC",1.0,not identified
B:marin-community/marin-8b-base,marin-8b-base,Marin,2025,Marin,8030261248.0,12700000000000.0,1581.5176627239912,6.119059070976e+23,S2(c),1.647184293322602,6.439980728725209,304.58674325459066,2.524794017809326,DeepSeek LLM published law,"Marin, Nemotron-CC",5.1923391209514005,w>1
B:m-a-p/neo_7b,neo_7b,M-A-P,2024,MAP-Neo,7793716224.0,4420000000000.0,567.1235483772215,2.0668935426048e+23,S2(c),0.9556685409053411,5.225009931893457,218.0901779243061,3.0512985266889827,DeepSeek LLM published law,"Marin, Nemotron-CC",2.600408481367082,w>1
B:stabilityai/stablelm-3b-4e1t,stablelm-3b-4e1t,Stability AI,2023,StableLM-3B-4E1T,2795443200.0,4000000000000.0,1430.9001163035614,6.70906368e+22,S2(c),2.144211883805281,5.954136516879521,167.64473930520245,3.7133055372143944,DeepSeek LLM published law,"Marin, Nemotron-CC",8.535311768409048,w>1
B:meta-llama/Llama-2-7b-hf,Llama-2-7b-hf,Meta,2023,Llama-2,6738417664.0,2000000000000.0,296.80558548411165,8.0861011968e+22,S2(d),-3.190460279559602,8.788582866649103,7212.259819641918,0.045252130072604195,Marin Comma,Marin DCLM,1.0,not identified
B:meta-llama/Llama-2-13b-hf,Llama-2-13b-hf,Meta,2023,Llama-2,13015866880.0,2000000000000.0,153.6586090222828,1.5619040256e+23,S2(d),-4.507148305644876,8.788582866649103,13931.136120866007,0.023427387159545204,Marin Comma,Marin DCLM,1.0,not identified
