uid,model,dev,year,gen,N,D,M,Cmp,set,dlo,dhi,Mstar_hi_eff,Mstar_lo_eff,binding_upper,binding_lower,tau_break,sign_tau1
B:deepseek-ai/deepseek-llm-67b-base,deepseek-llm-67b-base,DeepSeek,2024,DeepSeek-LLM,67000000000.0,2000000000000.0,29.850746268656717,8.04e+23,S1,-2.0580688617190335,1.637736529864685,233.75620233497645,5.803570376336684,Marin,Llama 3,1.0,not identified
B:deepseek-ai/deepseek-llm-7b-base,deepseek-llm-7b-base,DeepSeek,2024,DeepSeek-LLM,7000000000.0,2000000000000.0,285.7142857142857,8.4e+22,S1,0.8199102185147318,3.677305660066365,125.84891396835718,7.22600735386749,Marin,Llama 3,2.270295997835343,w>1
B:stabilityai/stablelm-base-alpha-3b,stablelm-base-alpha-3b,Stability AI,2023,StableLM-alpha,3638525952.0,800000000000.0,219.8692576482137,1.74649245696e+22,S1,0.98483801479468,3.265533214381901,82.12110693031548,8.393854843691118,Marin,Llama 3,2.6773781536430765,w>1
B:stabilityai/stablelm-base-alpha-7b-v2,stablelm-base-alpha-7b-v2,Stability AI,2023,StableLM-alpha-v2,6889414656.0,1100000000000.0,159.66523353939925,4.54701367296e+22,S1,0.40529225931044177,3.0364858003428674,106.46188924555183,7.664455959838563,Marin,Llama 3,1.4997407492096553,w>1
B:stabilityai/stablelm-2-1_6b,stablelm-2-1_6b,Stability AI,2024,StableLM-2,1644515328.0,2000000000000.0,1216.1637936402378,1.9734183936e+22,S1,2.6622190936172307,4.987484095096945,84.87992906151847,8.29765261286867,Marin,Llama 3,14.328049128773403,w>1
B:stabilityai/stablelm-base-alpha-7b,stablelm-base-alpha-7b,Stability AI,2023,StableLM-alpha,7869358080.0,800000000000.0,101.6601343930711,3.7772918784e+22,S1,0.004290905885476093,2.567322581562305,101.2248548636919,7.801473705417986,Marin,Llama 3,1.0043001250035413,w>1
B:HuggingFaceTB/SmolLM-135M,SmolLM-135M,Hugging Face,2024,SmolLM,134515008.0,600000000000.0,4460.468827389134,4.842540288e+20,S1,4.818576641390566,5.965548871641532,36.03290383191515,11.443939471801093,DeepSeek LLM law,Llama 3,123.78876951455679,w>1
B:HuggingFaceTB/SmolLM-360M,SmolLM-360M,Hugging Face,2024,SmolLM,361821120.0,600000000000.0,1658.2779910691781,1.302556032e+21,S1,3.696276034991985,5.052111066792886,41.15144134650275,10.606042876329724,Marin,Llama 3,40.296960126042016,w>1
B:HuggingFaceTB/SmolLM-1.7B,SmolLM-1.7B,Hugging Face,2024,SmolLM,1711376384.0,1000000000000.0,584.3249967389991,1.0268258304e+22,S1,2.1055278055448285,4.19317780096995,71.15990471410325,8.822272839138806,Marin,Llama 3,8.211435907434417,w>1
B:cerebras/btlm-3b-8k-base,btlm-3b-8k-base,Cerebras,2023,BTLM,3000000000.0,627000000000.0,209.0,1.1286e+22,S1,1.051964792998369,3.1738675009901907,72.99343159624179,8.744865699729221,Marin,Llama 3,2.8632713304406527,w>1
B:h2oai/h2o-danube-1.8b-base,h2o-danube-1.8b-base,H2O.ai,2024,H2O-Danube1,1831201280.0,1000000000000.0,546.0896139172642,1.098720768e+22,S1,2.0196387593568845,4.131812152640527,72.46794534902614,8.766791918460763,Marin,Llama 3,7.535602276111763,w>1
