set,series,tau,share
S1,all models,3.6048436336362166,0.5064935064935064
S1,all models,3.6183848309336675,0.5064935064935064
S1,all models,3.631976894244428,0.5064935064935064
S1,all models,3.6456200146410644,0.5064935064935064
S1,all models,3.659314383913885,0.5064935064935064
S1,all models,3.6730601945736376,0.4935064935064935
S1,all models,3.686857639854215,0.4935064935064935
S1,all models,3.7007069137153734,0.4935064935064935
S1,all models,3.714608210845455,0.4935064935064935
S1,all models,3.728561726664129,0.4935064935064935
S1,all models,3.7425676573251363,0.4935064935064935
S1,all models,3.756626199719048,0.4935064935064935
S1,all models,3.7707375514760333,0.4935064935064935
S1,all models,3.784901910968636,0.4935064935064935
S1,all models,3.799119477314566,0.4935064935064935
S1,all models,3.8133904503794955,0.4935064935064935
S1,all models,3.827715030779871,0.4935064935064935
S1,all models,3.842093419885733,0.4935064935064935
S1,all models,3.856525819823544,0.4935064935064935
S1,all models,3.8710124334790352,0.4935064935064935
S1,all models,3.885553464500054,0.4935064935064935
S1,all models,3.900149117299428,0.4935064935064935
S1,all models,3.914799597057841,0.4935064935064935
S1,all models,3.9295051097267133,0.4805194805194805
S1,all models,3.9442658620311,0.4805194805194805
S1,all models,3.959082061472597,0.4805194805194805
S1,all models,3.9739539163322544,0.4805194805194805
S1,all models,3.98888163567351,0.4805194805194805
S1,all models,4.003865429345123,0.4805194805194805
S1,all models,4.018905507984128,0.4805194805194805
S1,all models,4.034002083018794,0.4805194805194805
S1,all models,4.049155366671595,0.4805194805194805
S1,all models,4.064365571962199,0.4805194805194805
S1,all models,4.079632912710455,0.4805194805194805
S1,all models,4.094957603539406,0.4805194805194805
S1,all models,4.1103398598783,0.4805194805194805
S1,all models,4.125779897965623,0.4805194805194805
S1,all models,4.1412779348521385,0.4805194805194805
S1,all models,4.1568341884039315,0.4805194805194805
S1,all models,4.172448877305483,0.4805194805194805
S1,all models,4.188122221062734,0.4805194805194805
S1,all models,4.20385444000618,0.4805194805194805
S1,all models,4.219645755293958,0.4805194805194805
S1,all models,4.235496388914965,0.4805194805194805
S1,all models,4.2514065636919725,0.4805194805194805
S1,all models,4.267376503284765,0.4805194805194805
S1,all models,4.283406432193275,0.4805194805194805
S1,all models,4.299496575760749,0.4805194805194805
S1,all models,4.315647160176907,0.4805194805194805
S1,all models,4.331858412481127,0.4675324675324675
S1,all models,4.348130560565636,0.4675324675324675
S1,all models,4.3644638331787124,0.4675324675324675
S1,all models,4.380858459927904,0.4675324675324675
S1,all models,4.397314671283249,0.4675324675324675
S1,all models,4.4,0.4675324675324675
S1,all models,4.413832698580527,0.4675324675324675
S1,all models,4.430412774024502,0.4675324675324675
S1,all models,4.447055130692188,0.4675324675324675
S1,all models,4.46376000253613,0.4675324675324675
S1,all models,4.48052762438769,0.4675324675324675
S1,all models,4.4973582319603445,0.4675324675324675
S1,all models,4.514252061853004,0.4675324675324675
S1,all models,4.53120935155334,0.4675324675324675
S1,all models,4.548230339441113,0.4675324675324675
S1,all models,4.565315264791536,0.4675324675324675
S1,all models,4.582464367778632,0.4675324675324675
S1,all models,4.5996778894786114,0.4675324675324675
S1,all models,4.616956071873259,0.4675324675324675
S1,all models,4.634299157853341,0.4675324675324675
S1,all models,4.65170739122201,0.4675324675324675
S1,all models,4.669181016698245,0.4675324675324675
S1,all models,4.68672027992028,0.4675324675324675
S1,all models,4.7043254274490645,0.4675324675324675
S1,all models,4.7219967067717254,0.4675324675324675
S1,all models,4.73973436630505,0.4675324675324675
S1,all models,4.757538655398972,0.4675324675324675
S1,all models,4.775409824340084,0.4675324675324675
S1,all models,4.793348124355152,0.4675324675324675
S1,all models,4.811353807614647,0.45454545454545453
S1,all models,4.829427127236291,0.45454545454545453
S1,all models,4.847568337288612,0.45454545454545453
S1,all models,4.865777692794523,0.45454545454545453
S1,all models,4.884055449734899,0.45454545454545453
S1,all models,4.902401865052181,0.45454545454545453
S1,all models,4.920817196653985,0.45454545454545453
S1,all models,4.939301703416729,0.45454545454545453
S1,all models,4.9578556451892695,0.45454545454545453
S1,all models,4.97647928279656,0.45454545454545453
S1,all models,4.995172878043311,0.45454545454545453
S1,all models,5.013936693717677,0.45454545454545453
S1,all models,5.032770993594943,0.45454545454545453
S1,all models,5.051676042441241,0.45454545454545453
S1,all models,5.070652106017264,0.44155844155844154
S1,all models,5.089699451082008,0.44155844155844154
S1,all models,5.108818345396519,0.44155844155844154
S1,all models,5.128009057727658,0.44155844155844154
S1,all models,5.147271857851879,0.44155844155844154
S1,all models,5.166607016559022,0.44155844155844154
S1,all models,5.186014805656118,0.44155844155844154
S1,all models,5.205495497971211,0.44155844155844154
S1,all models,5.2250493673571965,0.44155844155844154
S1,all models,5.244676688695663,0.44155844155844154
S1,all models,5.264377737900767,0.44155844155844154
S1,all models,5.2841527919231,0.44155844155844154
S1,all models,5.304002128753594,0.44155844155844154
S1,all models,5.32392602742742,0.44155844155844154
S1,all models,5.343924768027913,0.44155844155844154
S1,all models,5.363998631690511,0.44155844155844154
S1,all models,5.384147900606708,0.44155844155844154
S1,all models,5.404372858028018,0.44155844155844154
S1,all models,5.424673788269956,0.44155844155844154
S1,all models,5.4450509767160415,0.44155844155844154
S1,all models,5.465504709821801,0.44155844155844154
S1,all models,5.486035275118801,0.44155844155844154
S1,all models,5.50664296121869,0.44155844155844154
S1,all models,5.527328057817253,0.44155844155844154
S1,all models,5.5480908556984865,0.44155844155844154
S1,all models,5.568931646738683,0.44155844155844154
S1,all models,5.589850723910538,0.44155844155844154
S1,all models,5.610848381287266,0.44155844155844154
S1,all models,5.631924914046735,0.44155844155844154
S1,all models,5.653080618475615,0.44155844155844154
S1,all models,5.6743157919735445,0.42857142857142855
S1,all models,5.695630733057314,0.42857142857142855
S1,all models,5.717025741365054,0.42857142857142855
S1,all models,5.738501117660459,0.42857142857142855
S1,all models,5.760057163837002,0.42857142857142855
S1,all models,5.781694182922193,0.42857142857142855
S1,all models,5.803412479081824,0.42857142857142855
