unit,dlo,dhi,Cmp,year,n_members,dlo_S2c,members,units_file,id_tau1,id_tau1.3,id_tau1.84,id_tau3.4,id_tau4.4,id_tau8,id_tau10,tau_break
B:microsoft/phi-2,1.735100655403131,4.121832709346778,2.3349344256e+22,2023,1,1.4733644926781322,phi-2,56,True,True,True,True,True,False,False,5.6694984407367555
B:microsoft/phi-1_5,0.9492036943506297,2.2980946041319608,1.276443648e+21,2023,1,0.9511928730003145,phi-1_5,56,True,True,True,False,False,False,False,2.583651463691662
MPT,-1.5014891267726775,2.917661983865155,2.31e+23,2023,2,-1.8517482523834796,mpt-30b; mpt-7b,56,False,False,False,False,False,False,False,1.0
DeepSeek-LLM,-2.0580688617190335,3.677305660066365,8.880000000000001e+23,2024,2,-2.506857197401478,deepseek-llm-67b-base; deepseek-llm-7b-base,56,False,False,False,False,False,False,False,1.0
StableLM-alpha,0.004290905885476093,3.265533214381901,5.52378433536e+22,2023,2,-0.1424515363129757,stablelm-base-alpha-3b; stablelm-base-alpha-7b,56,True,False,False,False,False,False,False,1.0043001250035413
B:stabilityai/stablelm-base-alpha-7b-v2,0.40529225931044177,3.0364858003428674,4.54701367296e+22,2023,1,0.15123062061576142,stablelm-base-alpha-7b-v2,56,True,True,False,False,False,False,False,1.4997407492096553
B:stabilityai/stablelm-2-1_6b,2.6622190936172307,4.987484095096945,1.9734183936e+22,2024,1,2.606870568500292,stablelm-2-1_6b,56,True,True,True,True,True,True,True,14.328049128773403
B:HuggingFaceTB/SmolLM-135M,4.818576641390566,5.965548871641532,4.842540288e+20,2024,1,4.381212092873172,SmolLM-135M,56,True,True,True,True,True,True,True,123.78876951455679
B:HuggingFaceTB/SmolLM-360M,3.696276034991985,5.052111066792886,1.302556032e+21,2024,1,3.2629299018117393,SmolLM-360M,56,True,True,True,True,True,True,True,40.296960126042016
B:HuggingFaceTB/SmolLM-1.7B,2.1055278055448285,4.19317780096995,1.0268258304e+22,2024,1,1.8775882457719675,SmolLM-1.7B,56,True,True,True,True,True,True,False,8.211435907434417
B:cerebras/btlm-3b-8k-base,1.051964792998369,3.1738675009901907,1.1286e+22,2023,1,0.8111314843235062,btlm-3b-8k-base,56,True,True,True,False,False,False,False,2.8632713304406527
B:h2oai/h2o-danube-1.8b-base,2.0196387593568845,4.131812152640527,1.098720768e+22,2024,1,1.7758157798085126,h2o-danube-1.8b-base,56,True,True,True,True,True,False,False,7.535602276111763
B:h2oai/h2o-danube3-500m-base,4.646255277895113,6.8001510843594195,1.2326178816e+22,2024,1,4.375596236769006,h2o-danube3-500m-base,56,True,True,True,True,True,True,True,104.19407624999162
B:h2oai/h2o-danube3-4b-base,2.3430344153481952,5.396206407439978,1.4262621696e+23,2024,1,1.957947500391466,h2o-danube3-4b-base,56,True,True,True,True,True,True,True,10.412785388203547
B:allenai/OLMo-1B-hf,3.38319930744111,5.734317864459129,2.1181759488e+22,2024,1,3.137195606648139,OLMo-1B-hf,56,True,True,True,True,True,True,True,29.46488771355505
B:allenai/OLMo-7B-hf,1.0026266088870646,3.9365152562391224,1.0332143616e+23,2024,1,0.6826234299207767,OLMo-7B-hf,56,True,True,True,False,False,False,False,2.725431076696434
B:allenai/OLMo-7B-0424-hf,0.8583768111541525,3.7189395624697106,8.47235776512e+22,2024,1,0.5541845907672558,OLMo-7B-0424-hf,56,True,True,True,False,False,False,False,2.3593279491024957
B:TinyLlama/TinyLlama_v1.1,3.173002428067859,5.351778282200147,1.32e+22,2024,1,2.878965582895078,TinyLlama_v1.1,56,True,True,True,True,True,True,True,23.879072030328544
Qwen2.5,-0.5707720166687302,8.481998027772212,1.4361776921088e+25,2024,7,-1.1561989916119693,Qwen2.5-0.5B; Qwen2.5-1.5B; Qwen2.5-3B; Qwen2.5-7B; Qwen2.5-14B; Qwen2.5-32B; Qwen2.5-72B,56,False,False,False,False,False,False,False,1.0
Qwen3,1.9649174085781542,9.072208510267904,6.328397279232e+24,2025,5,1.490069464943221,Qwen3-0.6B-Base; Qwen3-1.7B-Base; Qwen3-4B-Base; Qwen3-8B-Base; Qwen3-14B-Base,56,True,True,True,True,True,False,False,7.134323331917047
B:allenai/OLMo-2-0425-1B,3.3062057072086866,5.852435692508825,3.60834766848e+22,2025,1,3.2259924348345086,OLMo-2-0425-1B,56,True,True,True,True,True,True,True,27.281415165792843
B:allenai/OLMo-2-1124-7B,1.27936347724172,4.41327905581465,1.773564014592e+23,2024,1,0.9947583420807602,OLMo-2-1124-7B,56,True,True,True,True,False,False,False,3.594351110985528
B:allenai/OLMo-2-1124-13B,0.6498544244731015,4.107273366958128,4.2383053056e+23,2024,1,0.28001442669591725,OLMo-2-1124-13B,56,True,True,True,False,False,False,False,1.9152619934447266
B:allenai/OLMo-2-0325-32B,-0.31086707612106057,3.5309730150095837,1.1894449296384e+24,2025,1,-0.7661888871429481,OLMo-2-0325-32B,56,False,False,False,False,False,False,False,1.0
Olmo-3,-0.37873542249621917,4.849986105326019,1.34708838801408e+24,2025,2,-0.8268227893950924,Olmo-3-1025-7B; Olmo-3-1125-32B,56,False,False,False,False,False,False,False,1.0
B:HuggingFaceTB/SmolLM2-135M,5.833784656579285,7.263560080255596,1.614180096e+21,2024,1,5.160431734535961,SmolLM2-135M,56,True,True,True,True,True,True,True,341.6492604489812
B:HuggingFaceTB/SmolLM2-360M,5.0907840747707445,7.117799387137987,8.68370688e+21,2024,1,4.490759259337574,SmolLM2-360M,56,True,True,True,True,True,True,True,162.51723777686993
B:HuggingFaceTB/SmolLM2-1.7B,3.852375354392497,6.819214559933968,1.12950841344e+23,2024,1,3.429522881256486,SmolLM2-1.7B,56,True,True,True,True,True,True,True,47.104821090456106
B:HuggingFaceTB/SmolLM3-3B-Base,3.1190428588667904,6.309635834721373,2.066466275328e+23,2025,1,2.725851676063499,SmolLM3-3B-Base,56,True,True,True,True,True,True,True,22.624714231782846
B:tiiuae/Falcon3-7B-Base,2.152266108775624,5.755000512375053,6.26266238976e+23,2024,1,1.8329843260139649,Falcon3-7B-Base,56,True,True,True,True,True,True,False,8.604334679481722
B:tiiuae/falcon-11B,0.966963209850495,4.370230548738138,3.663931392e+23,2024,1,0.501823517637292,falcon-11B,56,True,True,True,False,False,False,False,2.6299457269879616
Granite-3.0,1.9236917424328306,6.56026545281317,7.70714025984e+23,2024,2,1.4140859870749667,granite-3.0-2b-base; granite-3.0-8b-base,56,True,True,True,True,True,False,False,6.8461862296487626
Apertus,-0.6652360155812636,5.761122096076583,7.07878823904e+24,2025,2,-1.2422816704321145,Apertus-8B-2509; Apertus-70B-2509,56,False,False,False,False,False,False,False,1.0
B:marin-community/marin-8b-base,1.9869285683127496,5.581024461704137,6.119059070976e+23,2025,1,1.647184293322602,marin-8b-base,56,True,True,True,True,True,False,False,7.293099071050501
B:m-a-p/neo_7b,1.2592313117524059,4.4499009739580195,2.0668935426048e+23,2024,1,0.9556685409053411,neo_7b,56,True,True,True,True,False,False,False,3.5227125785867868
B:stabilityai/stablelm-3b-4e1t,2.492304422606594,5.266755377607856,6.70906368e+22,2023,1,2.144211883805281,stablelm-3b-4e1t,56,True,True,True,True,True,True,True,12.089102447295378
